取得時刻,PTS約定時刻,PTS価格
2026-07-09 08:50:48,2026-07-09 08:35,74887
2026-07-09 08:51:01,2026-07-09 08:35,74887
2026-07-09 08:52:00,2026-07-09 08:36,74990
2026-07-09 08:53:01,2026-07-09 08:36,75000
2026-07-09 08:54:00,2026-07-09 08:38,75000
2026-07-09 08:55:02,2026-07-09 08:38,75100
2026-07-09 08:56:00,2026-07-09 08:40,75310
2026-07-09 08:57:01,2026-07-09 08:41,75500
2026-07-09 08:58:01,2026-07-09 08:42,75540
2026-07-09 08:59:00,2026-07-09 08:42,75415
2026-07-09 09:00:01,2026-07-09 08:44,75410
2026-07-09 09:01:01,2026-07-09 08:45,75800
2026-07-09 09:02:00,2026-07-09 08:46,75990
2026-07-09 09:03:01,2026-07-09 08:47,75590
2026-07-09 09:04:01,2026-07-09 08:47,75600
2026-07-09 09:05:01,2026-07-09 08:49,75487
2026-07-09 09:06:01,2026-07-09 08:50,75590
2026-07-09 09:07:00,2026-07-09 08:51,75590
2026-07-09 09:08:01,2026-07-09 08:51,75500
2026-07-09 09:09:00,2026-07-09 08:53,75590
