時刻,始値,高値,安値,終値,出来高
09:05,59420,59510,59140,59500,0
09:06,59460,59600,59210,59590,178300
09:07,59580,60020,59520,59830,287000
09:08,59830,60300,59570,60220,253200
09:09,60220,60310,60050,60140,164900
09:10,60150,60190,59430,59480,243700
09:11,59470,59620,59230,59250,198200
09:12,59230,59250,58400,58650,477100
09:13,58650,59000,58650,58940,192900
09:14,58960,59150,58640,58660,225300
09:15,58660,59020,58570,58910,160500
09:16,58920,59050,58730,58960,123800
09:17,58970,59300,58940,59290,140700
09:18,59280,59430,59210,59370,125400
09:19,59350,59510,59200,59250,135200
09:20,59250,59380,59100,59380,117800
09:21,59380,60050,59350,59920,252500
09:22,59900,60190,59760,60000,213200
09:23,60000,60140,59810,60120,183200
09:24,60120,60750,60010,60320,291400
09:25,60330,60870,60290,60510,320100
09:26,60500,60750,60380,60460,220700
09:27,60470,60580,60130,60290,203300
09:28,60280,60550,60260,60510,163500
09:29,60500,60570,59900,60150,229100
09:30,60150,60250,60000,60170,101900
09:31,60180,60370,60180,60280,105300
09:32,60280,60480,60250,60440,83900
09:33,60440,60540,60330,60350,106700
09:34,60340,60420,60010,60090,129500
09:35,60080,60350,59970,60310,125000
09:36,60300,60350,60100,60120,77000
09:37,60120,60120,59880,60100,124100
09:38,60100,60330,60070,60330,80900
09:39,60330,60600,60330,60520,176800
09:40,60510,60660,60450,60540,102700
09:41,60530,60580,60420,60520,77400
09:42,60520,60900,60520,60780,173200
09:43,60780,60930,60670,60820,145200
09:44,60830,61200,60770,61180,202800
09:45,61190,61260,60970,61030,203200
09:46,61050,61110,60820,60880,135900
09:47,60890,60980,60830,60870,91200
09:48,60890,60960,60830,60890,55000
09:49,60900,60910,60740,60880,95700
09:50,60890,61050,60880,61040,89300
09:51,61050,61190,61050,61110,130400
09:52,61100,61110,61000,61070,71200
09:53,61070,61150,61030,61050,69500
09:54,61040,61290,61020,61250,120500
09:55,61260,61260,61130,61180,69600
09:56,61170,61320,61170,61260,91000
09:57,61250,61450,61180,61270,145500
09:58,61290,61360,61230,61320,81900
09:59,61320,61340,61120,61170,96500
10:00,61170,61330,61170,61280,62600
10:01,61280,61320,60880,60880,174100
10:02,60890,61000,60710,60790,129700
10:03,60790,60870,60580,60660,130700
10:04,60660,60860,60620,60810,75300
10:05,60810,60850,60750,60780,65300
10:06,60780,60840,60680,60790,84600
10:07,60790,60990,60730,60930,105200
10:08,60930,60990,60910,60950,56900
10:09,60950,60990,60810,60810,68500
10:10,60810,60880,60750,60860,66400
