時刻,始値,高値,安値,終値,出来高
09:05,91240,91400,90610,90650,0
09:06,90650,91370,90300,91320,320300
09:07,91320,91910,91300,91790,231200
09:08,91810,92320,91770,92110,195000
09:09,92060,92190,91540,91920,162200
09:10,91960,91990,91140,91470,173000
09:11,91450,91490,91100,91180,105600
09:12,91160,91170,90200,90380,250700
09:13,90390,90460,89590,89720,356200
09:14,89720,90300,89680,90130,165000
09:15,90110,90280,89260,89970,235200
09:16,89960,90560,89920,90190,166100
09:17,90190,90290,89740,90270,120300
09:18,90290,90450,90010,90110,102300
09:19,90070,90310,89900,89980,94500
09:20,89990,90280,89520,90280,150200
09:21,90290,90600,89800,89960,164800
09:22,89970,90270,89860,90130,75500
09:23,90130,90310,89650,89910,149100
09:24,89940,90030,89600,89890,86600
09:25,89860,90230,89780,90100,97100
09:26,90090,90280,90010,90190,63000
09:27,90200,90450,90040,90110,105200
09:28,90120,90250,90010,90170,51700
09:29,90170,90210,90000,90210,65900
09:30,90190,90460,89970,90300,123500
09:31,90300,90490,90020,90130,89400
09:32,90150,90150,89710,89950,140300
09:33,89950,90150,89810,90110,71500
09:34,90100,90200,89910,89960,63500
09:35,89960,90050,89550,89600,138600
09:36,89570,89610,89080,89250,213600
09:37,89240,89600,89060,89460,116100
09:38,89480,90140,89420,90060,160900
09:39,90090,90300,89830,89950,145000
09:40,89940,90290,89820,90210,102000
09:41,90210,90410,90080,90370,108600
09:42,90340,90970,90300,90930,193200
09:43,90900,91230,90800,91090,184900
09:44,91090,91200,90900,91130,137600
09:45,91130,91290,90710,90790,133700
09:46,90780,90990,90610,90690,77500
09:47,90700,90800,90270,90350,101800
09:48,90350,90600,90350,90440,74600
09:49,90430,90670,90090,90120,114100
09:50,90110,90190,89830,89950,132600
09:51,89950,90080,89820,89990,75400
09:52,89990,90130,89650,90120,119700
09:53,90120,90120,89490,89490,148700
09:54,89480,89650,89200,89400,141200
09:55,89380,89900,89370,89670,89200
09:56,89650,89870,89510,89870,92600
09:57,89860,89950,89620,89930,67400
09:58,89930,89930,89120,89150,153900
09:59,89140,89150,88400,88440,327300
10:00,88460,88990,88420,88950,114300
10:01,88950,89170,88710,89170,110800
10:02,89160,89330,88800,88920,99800
10:03,88890,88890,88400,88440,118500
10:04,88410,88690,88170,88650,178300
10:05,88680,89140,88650,89110,110400
10:06,89090,89380,88630,88880,124300
10:07,88890,89130,88780,88880,67800
10:08,88890,89120,88810,88930,67000
10:09,88950,89310,88900,89190,88800
10:10,89210,89430,88710,89220,129900
10:11,89250,89410,89030,89300,69300
10:12,89290,89390,88860,88990,79400
10:13,88990,89010,88670,89000,75200
10:14,89020,89440,88840,89420,81400
10:15,89400,89540,89090,89330,95000
10:16,89310,89340,88700,88880,82600
10:17,88890,89120,88840,89020,63000
10:18,89010,89690,88920,89650,133500
10:19,89670,89800,89330,89590,112400
10:20,89610,89790,89280,89690,86300
10:21,89680,89890,89500,89770,83700
10:22,89740,89980,89640,89930,80100
10:23,89910,90030,89730,89760,120900
10:24,89770,89950,89430,89450,86800
10:25,89430,89700,89220,89300,81400
10:26,89300,89840,89250,89590,74800
10:27,89550,89650,89410,89560,52400
10:28,89560,89870,89430,89800,72000
10:29,89800,89840,89640,89730,43400
10:30,89750,90110,89690,89920,126900
10:31,89900,89960,89400,89480,82200
10:32,89520,89770,89500,89730,55200
10:33,89740,89800,89400,89500,63100
10:34,89500,89640,89300,89310,56900
10:35,89320,89400,89050,89160,89700
10:36,89150,89170,88900,89100,107400
10:37,89070,89200,88920,89080,53400
10:38,89080,89470,89080,89380,68600
10:39,89400,89450,89170,89170,43800
10:40,89160,89270,88810,88970,72700
