時刻,始値,高値,安値,終値,出来高
09:04,71880,71880,71880,71880,0
09:05,74160,74320,73880,74080,1607700
09:06,74060,74170,73950,73980,182700
09:07,73980,74280,73920,74040,218300
09:08,74060,74070,73500,73630,306100
09:09,73630,73800,73250,73800,251900
09:10,73800,73920,73420,73860,190600
09:11,73850,73990,73710,73920,164800
09:12,73910,73990,73840,73930,93600
09:13,73930,73950,73710,73710,106700
09:14,73710,73860,73580,73700,112300
09:15,73710,73850,73540,73560,106900
09:16,73560,73730,73510,73610,87300
09:17,73620,73650,73300,73300,124500
09:18,73310,73540,73290,73380,106200
09:19,73390,73410,73010,73060,183700
09:20,73070,73520,73040,73390,198800
09:21,73400,73460,73110,73210,112400
09:22,73210,73220,73000,73000,136400
09:23,73010,73040,72700,72830,244100
09:24,72820,72840,72600,72650,157500
09:25,72650,72650,72400,72470,195500
09:26,72460,72820,72300,72630,224200
09:27,72630,72900,72490,72890,197200
09:28,72870,73200,72810,73180,234000
09:29,73190,73270,73000,73100,169500
09:30,73100,73240,72680,72700,168000
09:31,72700,72890,72610,72760,136800
09:32,72770,72920,72660,72760,79500
09:33,72760,72850,72560,72700,114600
09:34,72710,72810,72600,72660,71200
09:35,72660,72730,72300,72300,135000
09:36,72310,72540,72170,72360,196400
09:37,72370,72780,72280,72630,164300
09:38,72630,72750,72520,72530,100600
09:39,72540,72550,72360,72510,108100
09:40,72500,72700,72420,72630,106900
09:41,72610,72700,72550,72560,61700
09:42,72560,72690,72400,72430,106100
09:43,72420,72460,72330,72350,73500
09:44,72350,72540,72350,72380,114800
09:45,72380,72390,72180,72250,136900
09:46,72260,72540,72260,72540,115800
09:47,72540,72630,72470,72520,118700
09:48,72510,72580,72300,72330,75500
09:49,72320,72520,72190,72510,141700
09:50,72510,72790,72410,72690,169900
09:51,72710,72990,72710,72760,187700
09:52,72750,72760,72350,72360,109600
09:53,72360,72390,72200,72320,133000
09:54,72320,72330,72200,72200,70800
09:55,72200,72360,72100,72250,171000
09:56,72250,72260,72030,72090,150700
09:57,72080,72380,72050,72120,125300
09:58,72140,72390,72100,72370,100100
09:59,72360,72540,72230,72280,132300
10:00,72280,72540,72270,72330,130600
10:01,72340,72500,72270,72480,94200
10:02,72480,72480,72280,72330,70500
10:03,72310,72430,72300,72360,58600
10:04,72350,72370,72220,72260,76300
10:05,72250,72620,72250,72540,109700
10:06,72530,72720,72440,72530,131700
10:07,72530,72620,72210,72260,129300
10:08,72250,72330,72210,72260,73800
10:09,72260,72380,72250,72310,72800
10:10,72300,72430,72270,72380,61200
10:11,72360,72540,72290,72490,83300
10:12,72480,72650,72370,72600,100700
10:13,72610,72700,72500,72700,89800
10:14,72690,72730,72500,72590,92900
10:15,72570,72840,72510,72720,111600
10:16,72730,72900,72720,72770,109300
10:17,72780,72940,72760,72880,106300
10:18,72870,73000,72850,72900,119800
10:19,72890,72950,72830,72900,102800
10:20,72910,73030,72850,73010,111600
10:21,73000,73100,72960,73050,122500
10:22,73040,73240,73010,73230,140800
10:23,73230,73250,73050,73110,154900
10:24,73110,73220,73080,73150,98300
10:25,73150,73260,73000,73000,164000
10:26,73010,73020,72850,72960,127000
10:27,72970,73010,72800,72950,107300
10:28,72950,73200,72890,73180,128100
10:29,73180,73310,72880,72920,178500
10:30,72920,73050,72840,72960,89900
10:31,72950,73160,72840,73080,123400
10:32,73060,73190,72960,73150,84200
10:33,73150,73200,73050,73130,67900
10:34,73120,73250,73090,73170,89700
10:35,73180,73240,73100,73220,75700
10:36,73230,73380,73200,73240,141400
10:37,73250,73310,73210,73300,47700
10:38,73290,73300,73150,73180,76600
10:39,73170,73300,73120,73270,69200
10:40,73270,73370,73180,73260,115900
10:41,73260,73270,73190,73240,52200
10:42,73240,73440,73240,73330,154900
10:43,73330,73340,73150,73210,98400
10:44,73210,73380,73200,73340,91600
10:45,73350,73530,73330,73490,189300
10:46,73470,73590,73400,73580,105200
10:47,73560,73610,73540,73610,72000
10:48,73600,73690,73580,73650,77600
