時刻,始値,高値,安値,終値,出来高
09:05,50820,51210,50800,51110,0
09:06,51110,51240,50870,51040,315500
09:07,51030,51240,50620,50630,319600
09:08,50620,50800,50510,50560,185500
09:09,50560,50570,50400,50470,238600
09:10,50490,50500,50180,50240,188800
09:11,50240,50720,50240,50570,270800
09:12,50570,50710,50470,50690,212700
09:13,50690,50740,50510,50620,125000
09:14,50630,50890,50630,50880,191100
09:15,50890,51300,50880,51220,300400
09:16,51210,51500,51180,51490,295300
09:17,51490,51630,51410,51500,319200
09:18,51500,51850,51480,51750,320900
09:19,51750,51890,51580,51780,276900
09:20,51780,51880,51610,51700,208100
09:21,51710,51950,51480,51940,324400
09:22,51940,52120,51900,51900,379900
09:23,51900,51950,51650,51890,210600
09:24,51880,52000,51780,51990,181200
09:25,52000,52000,51740,51790,143700
09:26,51790,51820,51560,51740,197800
09:27,51720,51820,51580,51660,159400
09:28,51650,51740,51520,51540,150900
09:29,51540,51710,51500,51600,158300
09:30,51590,51610,51260,51280,234600
09:31,51280,51480,51230,51440,179100
09:32,51430,51600,51350,51550,162700
09:33,51550,51920,51540,51800,220100
09:34,51800,51850,51620,51810,164600
09:35,51820,52150,51820,51900,319300
09:36,51900,52060,51800,51950,163500
09:37,51940,52200,51920,52150,201800
09:38,52150,52270,52110,52180,164100
09:39,52180,52480,52160,52400,253300
09:40,52410,52480,52220,52330,211600
09:41,52340,52340,52100,52140,194100
09:42,52150,52340,52140,52260,124000
09:43,52260,52650,52260,52470,317800
09:44,52480,52490,52160,52190,202500
09:45,52190,52360,52140,52250,143800
09:46,52250,52290,52170,52220,98500
09:47,52210,52250,52030,52090,174300
09:48,52090,52230,52030,52090,107700
09:49,52090,52220,52070,52120,108500
09:50,52110,52510,52110,52400,208700
09:51,52400,52540,52230,52240,166700
09:52,52240,52430,52230,52400,116200
09:53,52400,52470,52270,52390,116900
09:54,52390,52500,52380,52460,90600
09:55,52470,52650,52390,52650,194200
09:56,52650,52780,52520,52740,158000
09:57,52750,52800,52620,52640,142000
09:58,52640,52690,52530,52570,127000
09:59,52560,52800,52550,52780,138300
10:00,52780,52800,52660,52740,122400
10:01,52730,52760,52450,52510,198100
10:02,52500,52660,52490,52580,149000
10:03,52570,52600,52450,52530,105500
10:04,52530,52710,52360,52710,243300
10:05,52700,53050,52690,52850,406000
10:06,52850,53050,52660,52710,262400
10:07,52710,52730,52540,52610,132200
10:08,52610,52680,52540,52550,96700
10:09,52550,52610,52450,52450,103400
10:10,52450,52460,52230,52280,189800
10:11,52290,52400,52200,52310,117900
10:12,52310,52420,52160,52160,148800
10:13,52160,52250,52090,52110,134300
10:14,52100,52180,52000,52000,137700
10:15,52000,52210,51930,52140,208100
10:16,52130,52190,51850,51860,132100
10:17,51860,52000,51720,51780,170700
10:18,51780,51980,51720,51980,155700
10:19,51960,51970,51770,51850,110700
10:20,51870,51940,51660,51690,151900
10:21,51680,51690,51400,51430,217900
10:22,51420,51490,51320,51430,159800
10:23,51440,51670,51430,51590,173000
10:24,51600,51850,51500,51770,206900
10:25,51780,51850,51600,51670,155900
10:26,51660,51670,51470,51530,156800
10:27,51520,51530,51250,51350,163000
10:28,51350,51380,51130,51250,149400
10:29,51260,51380,51050,51310,218600
10:30,51320,51630,51220,51590,188200
10:31,51580,51640,51430,51510,122100
10:32,51500,51510,51300,51380,98900
10:33,51380,51380,51050,51140,138300
10:34,51150,51470,51050,51450,197400
10:35,51430,51640,51330,51580,161000
10:36,51590,51690,51500,51590,118900
10:37,51600,51820,51590,51660,161900
10:38,51660,51840,51610,51760,104800
10:39,51770,51920,51720,51900,116000
10:40,51910,52070,51790,52060,185000
10:41,52070,52070,51920,52060,126800
10:42,52050,52180,52050,52110,156800
10:43,52110,52240,52110,52180,147400
10:44,52200,52230,52130,52170,80900
10:45,52180,52350,52120,52250,212400
10:46,52240,52280,52030,52070,141400
10:47,52070,52080,51860,52010,185900
10:48,52010,52230,51970,52180,117800
10:49,52180,52210,52070,52130,73000
10:50,52140,52370,52140,52290,145900
10:51,52290,52520,52290,52480,155800
10:52,52490,52500,52380,52410,79900
10:53,52400,52400,52130,52160,128700
10:54,52160,52400,52050,52300,140300
10:55,52300,52390,52120,52240,108400
10:56,52240,52260,52120,52200,65900
10:57,52190,52260,52140,52190,64600
10:58,52190,52330,52150,52310,98000
10:59,52310,52420,52240,52390,80600
11:00,52380,52550,52280,52470,132200
11:01,52470,52640,52400,52620,137100
11:02,52610,52650,52530,52590,79600
11:03,52600,52670,52410,52480,132000
11:04,52470,52610,52360,52580,119700
11:05,52570,52580,52430,52470,58100
11:06,52480,52530,52450,52450,46600
11:07,52450,52490,52350,52430,90600
11:08,52430,52530,52420,52430,57500
11:09,52420,52430,52260,52280,96700
11:10,52280,52360,52240,52330,78400
11:11,52330,52440,52280,52410,72600
11:12,52420,52440,52250,52290,68000
11:13,52290,52370,52270,52310,40600
11:14,52340,52700,52340,52650,220400
11:15,52660,52710,52560,52660,99300
11:16,52660,52700,52510,52580,75700
11:17,52580,52600,52430,52480,70300
11:18,52480,52520,52320,52330,72900
11:19,52320,52450,52230,52430,82500
11:20,52430,52440,52230,52240,61000
11:21,52240,52250,52110,52180,102500
11:22,52180,52200,52080,52120,66700
11:23,52130,52200,52060,52200,73800
11:24,52190,52440,52140,52400,99200
11:25,52400,52500,52310,52350,89300
11:26,52350,52520,52350,52500,74600
11:27,52500,52510,52320,52350,52500
11:28,52350,52400,52300,52340,39100
11:29,52340,52390,52300,52310,45600
11:30,52310,52310,52300,52300,19900
12:30,52330,52350,52110,52120,214200
12:31,52110,52170,52000,52130,148900
12:32,52110,52330,52110,52260,114400
12:33,52260,52370,52170,52170,114400
12:34,52170,52210,51870,51890,140600
12:35,51900,52040,51700,52010,207400
12:36,52020,52210,51870,52120,180400
12:37,52130,52150,51830,51930,126200
12:38,51930,52170,51860,52150,146900
12:39,52130,52190,52050,52080,99800
12:40,52090,52180,52010,52020,72700
12:41,52010,52040,51850,51900,128100
12:42,51890,52130,51820,52060,107300
12:43,52070,52360,52060,52330,184800
12:44,52350,52460,52330,52410,144800
12:45,52410,52500,52310,52460,150900
12:46,52470,52570,52380,52410,136800
12:47,52420,52540,52370,52390,97600
12:48,52380,52480,52340,52430,90400
12:49,52440,52560,52360,52540,115400
12:50,52550,52560,52430,52540,96000
12:51,52550,52680,52410,52660,165700
