時刻,始値,高値,安値,終値,出来高
09:00,55010,55040,54200,54290,0
09:01,54270,54530,54060,54380,216400
09:02,54390,54550,54190,54270,213400
09:03,54260,54490,54100,54390,196900
09:04,54380,54530,54160,54400,170200
09:05,54390,54610,54260,54400,0
09:06,54390,54670,54380,54560,168500
09:07,54550,54640,53830,54000,393700
09:08,53990,54170,53870,53980,203200
09:09,53980,54420,53930,54380,181000
09:10,54390,54470,54270,54430,202600
09:11,54430,54490,54130,54180,149800
09:12,54180,54190,54010,54110,110600
09:13,54090,54200,53890,53910,150700
09:14,53900,54010,53610,53650,262400
09:15,53650,53680,53220,53310,287000
09:16,53300,53670,53270,53640,230600
09:17,53650,54050,53590,53850,291200
09:18,53840,53970,53700,53910,146500
09:19,53910,53920,53580,53630,140900
09:20,53620,53670,53190,53210,223500
09:21,53200,53330,53060,53150,191400
09:22,53160,53380,53050,53110,187900
09:23,53120,53220,53010,53160,108000
09:24,53150,53400,53150,53350,134700
09:25,53340,53420,53100,53130,140100
09:26,53120,53130,52900,53010,237600
09:27,53020,53230,53010,53230,117400
09:28,53230,53230,52950,53100,174800
09:29,53110,53210,52870,53020,181700
09:30,53020,53130,52850,53050,156500
09:31,53060,53410,53050,53330,191600
09:32,53340,53440,53230,53390,171200
09:33,53390,53590,53280,53570,175400
09:34,53570,53710,53360,53400,195600
09:35,53390,53460,53220,53440,143700
09:36,53460,53550,53320,53340,115400
09:37,53340,53460,53210,53430,99800
09:38,53420,53650,53410,53580,120200
09:39,53580,53670,53490,53520,99800
09:40,53500,53680,53480,53680,89500
09:41,53670,53750,53570,53580,130500
09:42,53580,53710,53460,53480,128500
09:43,53480,53540,53310,53340,128900
09:44,53340,53400,53110,53120,121000
09:45,53110,53270,53100,53250,124500
09:46,53260,53380,53200,53380,84500
09:47,53380,53480,53190,53420,125200
09:48,53400,53510,53390,53460,78900
09:49,53450,53490,53380,53430,56200
09:50,53420,53480,53260,53420,97300
09:51,53410,53550,53370,53520,95200
09:52,53520,53660,53490,53650,94600
09:53,53650,53690,53540,53630,88300
09:54,53620,53620,53460,53480,88300
09:55,53480,53530,53400,53500,70500
