時刻,始値,高値,安値,終値,出来高
09:04,50590,50590,50590,50590,0
09:05,50590,50720,50400,50480,204800
09:06,50470,50520,50210,50290,187100
09:07,50290,50380,50110,50130,181400
09:08,50130,50480,50080,50460,188600
09:09,50450,50810,50420,50760,214000
09:10,50770,50870,50670,50740,173100
09:11,50730,50860,50590,50820,166100
09:12,50820,50830,50670,50750,91200
09:13,50740,50750,50580,50630,98700
09:14,50610,50710,50550,50610,78700
09:15,50610,50820,50550,50800,151700
09:16,50810,50860,50690,50720,121700
09:17,50720,50990,50720,50950,153800
09:18,50950,51040,50810,50900,191500
09:19,50910,51050,50840,50870,144000
09:20,50860,51090,50830,51020,112800
09:21,51010,51050,50770,50820,214200
09:22,50800,50840,50690,50750,118700
09:23,50740,50850,50740,50760,86100
09:24,50770,50820,50640,50680,102000
09:25,50680,50690,50430,50480,169900
09:26,50490,50500,50370,50420,136900
09:27,50420,50460,50330,50380,83600
09:28,50380,50520,50270,50500,140700
09:29,50510,50550,50390,50470,89000
09:30,50460,50620,50410,50560,125300
09:31,50560,50570,50370,50390,103900
09:32,50390,50470,50320,50370,100400
09:33,50370,50430,50300,50420,105000
09:34,50430,50500,50410,50450,66700
09:35,50460,50500,50380,50440,66100
09:36,50450,50510,50240,50250,162100
09:37,50280,50330,50200,50210,100100
09:38,50200,50280,50130,50160,118700
09:39,50160,50190,50010,50090,164800
09:40,50090,50130,49950,50020,228200
09:41,50020,50180,49960,50150,134300
09:42,50160,50190,50120,50120,71800
09:43,50120,50260,50060,50250,125700
09:44,50250,50260,50050,50090,102200
09:45,50090,50160,50000,50120,128400
09:46,50120,50130,50040,50120,58300
09:47,50110,50250,50100,50220,84900
09:48,50220,50320,50210,50230,117100
09:49,50230,50250,50180,50180,59300
09:50,50190,50260,50160,50220,62000
09:51,50230,50230,50000,50010,122600
09:52,50000,50020,49870,49950,210800
09:53,49950,49970,49820,49880,121000
09:54,49890,50000,49820,49930,111600
09:55,49920,49930,49800,49890,129500
09:56,49900,49980,49850,49940,101100
09:57,49940,49990,49860,49880,94800
09:58,49880,49970,49840,49940,73800
09:59,49940,49940,49760,49770,110100
10:00,49770,49930,49760,49920,98900
10:01,49910,49980,49860,49970,105900
10:02,49970,50030,49920,49940,122700
10:03,49940,49990,49870,49930,79900
10:04,49940,50150,49940,50130,126100
10:05,50120,50150,50060,50130,81200
10:06,50120,50140,50060,50100,45000
10:07,50100,50130,50060,50080,47300
10:08,50070,50150,50060,50090,64100
10:09,50090,50200,50080,50190,77000
10:10,50180,50230,50080,50230,83600
10:11,50230,50240,50150,50150,59800
10:12,50160,50170,50000,50060,112200
10:13,50060,50180,50030,50140,69700
10:14,50160,50170,50110,50110,45100
10:15,50110,50170,50020,50110,92800
10:16,50110,50300,50090,50290,130400
10:17,50300,50330,50230,50260,81400
10:18,50250,50270,50180,50260,68100
10:19,50260,50300,50170,50220,66100
10:20,50210,50260,50130,50230,71200
10:21,50230,50280,50180,50220,48600
10:22,50220,50250,50170,50190,35300
10:23,50180,50200,50130,50200,51800
10:24,50190,50200,50090,50100,60100
10:25,50100,50130,50070,50090,35300
10:26,50090,50170,50070,50170,47700
10:27,50170,50190,50150,50180,26800
10:28,50180,50210,50100,50200,57400
10:29,50200,50250,50190,50240,48200
10:30,50240,50330,50210,50240,121300
10:31,50240,50330,50180,50300,75800
10:32,50310,50420,50300,50400,95000
10:33,50410,50430,50320,50330,86600
10:34,50330,50390,50280,50390,66100
10:35,50390,50400,50240,50350,64200
10:36,50360,50380,50290,50310,51100
10:37,50310,50330,50260,50300,45000
10:38,50290,50360,50290,50340,34800
10:39,50340,50350,50290,50320,44400
10:40,50320,50340,50280,50310,34600
10:41,50310,50320,50200,50230,72200
10:42,50240,50290,50200,50210,46400
10:43,50210,50240,50160,50170,63000
10:44,50170,50250,50170,50240,44000
10:45,50250,50250,50170,50220,43700
10:46,50230,50240,50170,50170,26300
10:47,50180,50320,50180,50310,79300
10:48,50300,50320,50210,50230,46800
10:49,50230,50250,50110,50130,71200
10:50,50140,50210,50110,50200,46700
10:51,50200,50230,50190,50210,33100
10:52,50200,50250,50190,50230,32500
10:53,50230,50240,50200,50200,20200
10:54,50210,50210,50050,50140,90500
10:55,50140,50190,50130,50170,32300
10:56,50160,50190,50090,50090,44400
10:57,50090,50110,50050,50100,38700
