時刻,始値,高値,安値,終値,出来高
09:04,58700,58700,58700,58700,0
09:05,58720,58850,58580,58800,165400
09:06,58790,59040,58550,58610,351000
09:07,58590,58820,58450,58780,246100
09:08,58780,59080,58720,59000,214200
09:09,59000,59150,58510,58550,371100
09:10,58550,58690,58450,58620,199000
09:11,58600,58670,58480,58530,134900
09:12,58520,58640,58450,58610,148100
09:13,58610,58640,58520,58610,78000
09:14,58610,58770,58610,58720,90900
09:15,58710,58750,58570,58670,115200
09:16,58680,58800,58630,58770,131000
09:17,58770,58920,58760,58920,130100
09:18,58910,59280,58890,59230,210200
09:19,59220,59350,59060,59080,235200
09:20,59090,59240,58880,58900,244900
09:21,58920,59080,58860,59070,207100
09:22,59060,59090,58990,59070,80500
09:23,59080,59090,58960,59030,81900
09:24,59010,59070,58880,58890,101300
09:25,58900,59100,58880,59080,89000
09:26,59090,59140,59040,59120,90700
09:27,59120,59130,59010,59030,78200
09:28,59030,59130,58960,59130,91800
09:29,59140,59220,59120,59210,110100
09:30,59200,59220,59090,59130,78000
09:31,59130,59170,59070,59140,76000
09:32,59150,59200,59120,59190,46600
09:33,59200,59250,59170,59210,113700
09:34,59210,59230,59120,59140,89800
09:35,59140,59200,59110,59130,52300
09:36,59140,59470,59130,59440,198900
09:37,59430,59490,59340,59370,108500
09:38,59360,59480,59360,59420,100500
09:39,59430,59500,59400,59460,143500
09:40,59450,59860,59450,59810,313400
09:41,59830,59920,59800,59920,140900
09:42,59910,59950,59870,59910,125200
09:43,59910,60040,59900,59990,304500
09:44,59990,60040,59930,60010,118800
09:45,60020,60280,60010,60160,247900
09:46,60160,60210,59960,59990,188900
09:47,59960,60130,59960,60100,88600
09:48,60100,60270,60080,60130,155900
09:49,60120,60210,60090,60190,104700
09:50,60190,60330,60180,60290,162100
09:51,60300,60400,60280,60390,151800
09:52,60390,60400,60300,60360,147500
09:53,60350,60500,60330,60470,227300
09:54,60470,60690,60320,60680,264600
09:55,60680,60770,60410,60490,260400
09:56,60500,60670,60410,60620,155100
09:57,60620,60630,60520,60570,87600
09:58,60580,60790,60580,60760,171800
09:59,60770,60800,60680,60710,132300
10:00,60700,60770,60550,60620,166100
10:01,60610,60700,60440,60460,172700
