時刻,始値,高値,安値,終値,出来高
09:33,44650,45530,44590,45260,0
09:34,45270,46000,44910,45390,647000
09:35,45390,45580,45130,45190,429900
09:36,45190,45550,44730,45000,580400
09:37,45000,45210,44820,45110,347300
09:38,45100,45260,44820,44920,455600
09:39,44910,45070,44690,45010,412100
09:40,45010,45150,44930,45000,270100
09:41,44990,45140,44950,45010,270000
09:42,45020,45160,44750,44920,358000
09:43,44910,45020,44840,44920,167900
09:44,44920,45100,44850,45080,217900
09:45,45080,45100,44770,44840,332800
09:46,44820,44850,44680,44720,222100
09:47,44720,44780,44560,44560,697700
09:48,44580,44650,44560,44590,326300
09:49,44600,44650,44570,44570,222800
09:50,44570,44620,44560,44590,311200
09:51,44580,44660,44560,44560,285700
09:52,44570,44590,44560,44570,283600
09:53,44570,44600,44550,44570,429800
09:54,44570,44580,44550,44560,411300
09:55,44560,44570,44550,44550,144600
09:56,44550,44570,44550,44560,123200
09:57,44560,44640,44550,44590,228100
09:58,44580,44590,44550,44570,228100
09:59,44560,44640,44560,44590,138200
10:00,44600,44790,44570,44710,209200
10:01,44710,44880,44620,44870,217600
10:02,44860,44990,44700,44960,284500
10:03,44950,45100,44860,45080,350400
10:04,45070,45550,45060,45230,378800
10:05,45220,45700,45110,45670,262100
10:06,45660,45660,45190,45290,258200
10:07,45290,45330,44910,44910,234900
10:08,44910,44980,44810,44920,175600
10:09,44910,45040,44850,45000,110600
10:10,44990,45150,44830,44840,185500
10:11,44850,44940,44730,44900,158000
10:12,44900,44960,44750,44750,104500
10:13,44750,45060,44730,44980,134300
10:14,44980,45120,44980,45000,98200
10:15,45010,45200,44960,45190,120100
10:16,45190,45210,45030,45150,105400
10:17,45150,45200,45090,45150,75900
10:18,45150,45390,45130,45350,140000
10:19,45340,45480,45160,45290,200700
10:20,45290,45630,45210,45630,205600
10:21,45610,45810,45540,45810,222400
10:22,45790,46070,45710,45860,399100
10:23,45860,46000,45610,45940,232300
10:24,45950,46020,45660,46010,210100
10:25,46020,46060,45420,45520,279800
10:26,45510,45540,45260,45310,229600
10:27,45310,45570,45280,45570,190400
10:28,45570,45700,45470,45650,184700
10:29,45660,45720,45480,45550,120600
10:30,45560,46150,45500,46090,286800
10:31,46090,46140,45870,45930,180800
10:32,45930,46000,45730,45760,136800
10:33,45760,45830,45570,45730,148100
10:34,45740,46070,45710,45870,190200
10:35,45870,46050,45800,45910,150800
10:36,45910,46100,45730,45770,220900
10:37,45760,45870,45610,45870,135600
10:38,45870,45970,45780,45870,108900
10:39,45870,45880,45730,45790,96500
10:40,45780,46180,45770,45990,249600
10:41,45990,46050,45890,45920,101400
10:42,45920,46120,45730,45930,209600
10:43,45930,46310,45930,46210,243000
10:44,46200,46350,45960,46320,200200
10:45,45930,46310,45930,45940,203100
10:46,45930,46480,45930,46350,224100
10:47,46350,46880,46350,46810,291600
10:48,46810,47280,46770,47270,443000
10:49,47280,47370,47100,47270,405900
10:50,47260,47720,46730,46830,543000
10:51,46820,46950,46530,46700,314900
10:52,46700,46750,46200,46260,259500
10:53,46270,46280,45930,45940,224300
10:54,45950,46160,45890,46010,198200
10:55,46000,46090,45800,45830,186300
10:56,45830,46170,45710,46140,287400
10:57,46130,46310,46070,46130,176000
10:58,46130,46300,46000,46000,156300
10:59,46010,46010,45680,45700,194200
11:00,45700,45840,45460,45790,278600
11:01,45770,45830,45670,45810,90200
11:02,45800,45890,45660,45690,121100
11:03,45690,45700,45360,45390,181200
11:04,45410,45410,45230,45290,163400
11:05,45310,45390,45300,45330,81900
11:06,45330,45440,45260,45310,123200
11:07,45310,45460,45260,45430,104600
11:08,45430,45570,45370,45400,145300
11:09,45390,45570,45370,45490,84900
11:10,45480,45560,45240,45370,152700
11:11,45380,45390,45140,45170,141200
11:12,45180,45180,44940,44960,337700
11:13,44950,45080,44920,45050,145900
11:14,45040,45100,44970,45000,110200
11:15,45000,45010,44830,44880,193300
11:16,44890,44950,44880,44880,107700
11:17,44880,45140,44810,45080,211100
11:18,45080,45160,44800,44830,242000
11:19,44830,44960,44830,44910,127000
11:20,44910,45020,44810,44930,214300
11:21,44910,44960,44800,44870,152700
11:22,44860,44930,44800,44810,180300
11:23,44820,44970,44800,44870,131100
11:24,44870,44890,44750,44860,192600
11:25,44870,44880,44660,44730,252900
11:26,44740,44790,44660,44670,88100
11:27,44690,44720,44650,44660,98800
11:28,44670,44770,44660,44700,81100
11:29,44700,44760,44650,44680,120600
11:30,44690,44700,44670,44670,29900
12:30,44680,44760,44580,44600,712500
12:31,44600,44640,44570,44590,300200
12:32,44580,44630,44560,44600,320800
12:33,44610,44770,44600,44730,178900
12:34,44730,44770,44680,44740,80500
12:35,44750,44850,44730,44850,138500
12:36,44850,44910,44770,44890,115100
12:37,44900,45000,44830,44990,154600
12:38,44980,45080,44940,45080,127700
12:39,45080,45100,45000,45070,120500
12:40,45060,45170,45060,45120,140100
12:41,45120,45140,44940,44940,171300
12:42,44940,44980,44820,44850,148100
12:43,44860,45210,44810,45190,158700
12:44,45190,45230,45050,45210,116500
12:45,45220,45320,45150,45180,135800
12:46,45180,45250,45080,45230,97300
12:47,45230,45230,45020,45040,79700
12:48,45050,45140,45030,45120,71600
12:49,45120,45140,45050,45090,60100
12:50,45080,45140,44910,44960,132400
12:51,44960,45030,44850,44910,94300
12:52,44910,45020,44890,44890,75300
12:53,44890,45100,44870,45010,110300
12:54,45010,45070,44970,45060,61400
12:55,45060,45120,44950,44990,102700
12:56,45000,45010,44910,45000,94500
12:57,45010,45010,44930,44960,53700
12:58,44960,45040,44930,45010,76800
12:59,45000,45010,44920,44950,61600
13:00,44940,44950,44710,44730,190100
13:01,44730,44780,44660,44750,119000
13:02,44750,44760,44690,44700,57600
13:03,44700,44730,44680,44720,44400
13:04,44710,44720,44650,44670,80300
13:05,44660,44720,44660,44700,48100
13:06,44690,44770,44690,44750,59300
13:07,44750,44780,44710,44730,50700
13:08,44730,44760,44650,44650,77600
13:09,44660,44660,44620,44630,77700
13:10,44630,44710,44630,44680,48800
13:11,44680,44690,44650,44660,44700
13:12,44670,44670,44620,44650,54300
13:13,44640,44680,44640,44640,40200
13:14,44640,44680,44630,44660,46800
13:15,44650,44710,44640,44710,71300
13:16,44720,44770,44690,44760,57000
13:17,44760,44830,44700,44730,72700
13:18,44730,44820,44690,44790,60900
13:19,44780,44830,44750,44810,71900
13:20,44800,44800,44710,44710,47200
13:21,44710,44720,44670,44680,51200
13:22,44680,44680,44650,44650,40600
13:23,44650,44690,44650,44660,40100
13:24,44670,44740,44670,44720,56200
13:25,44710,44730,44670,44690,34800
13:26,44700,44740,44690,44720,34000
13:27,44730,44760,44700,44710,36100
13:28,44710,44790,44710,44770,36700
13:29,44780,44820,44730,44740,59400
13:30,44730,44730,44670,44680,48800
13:31,44680,44760,44670,44720,52700
13:32,44720,44770,44700,44700,48000
13:33,44700,44720,44680,44720,59200
13:34,44720,44720,44680,44690,42000
13:35,44700,44700,44560,44590,538800
13:36,44590,44630,44570,44600,142300
13:37,44600,44650,44590,44620,73100
13:38,44630,44640,44590,44630,87800
13:39,44630,44670,44610,44630,93900
13:40,44640,44640,44610,44630,45300
13:41,44630,44680,44630,44670,53600
13:42,44660,44680,44620,44640,61700
13:43,44640,44660,44630,44640,41500
13:44,44640,44670,44620,44660,68600
13:45,44650,44680,44650,44660,34500
13:46,44660,44720,44660,44710,72400
13:47,44710,44750,44680,44690,70200
13:48,44680,44690,44630,44640,77900
13:49,44640,44700,44640,44650,34500
13:50,44660,44690,44650,44650,25200
13:51,44660,44710,44640,44670,53100
13:52,44680,44690,44650,44660,17500
13:53,44660,44660,44600,44600,70200
13:54,44600,44620,44600,44610,39400
13:55,44610,44640,44610,44610,62300
13:56,44600,44630,44590,44620,77700
13:57,44610,44620,44580,44580,43600
13:58,44580,44610,44580,44580,101700
13:59,44590,44590,44560,44570,297900
14:00,44570,44600,44560,44600,94100
14:01,44600,44620,44550,44560,540200
14:02,44560,44670,44550,44550,340200
