時刻,始値,高値,安値,終値,出来高
09:15,68000,72340,67190,71240,2289200
09:20,71250,74500,70910,74370,2244000
09:25,74380,74500,71180,71530,1585100
09:30,71560,73480,70910,73240,1473600
09:35,73240,75210,72960,74250,1540600
09:40,74280,75250,73500,73920,933300
09:45,73940,75680,73280,75660,1149600
09:50,75680,76080,75030,75960,1137400
09:55,75960,76690,75560,75960,1148900
10:00,75970,77200,75210,77010,1124000
10:05,77020,78360,76800,77710,1545600
10:10,77750,77750,76710,77110,942800
10:15,77120,77880,76710,77460,719000
10:20,77450,79440,77430,79390,1098300
10:25,79370,79470,78530,78600,953300
10:30,78600,79470,78570,79090,663700
10:35,79070,80700,78880,80490,1147500
10:40,80460,81070,80260,80970,1132500
10:45,80980,81050,79100,79250,1208700
10:50,79270,80480,79040,80460,848400
10:55,80430,82070,80360,81630,1301900
11:00,81650,82570,81410,82280,950300
11:05,82290,83000,81930,82940,910600
11:10,82950,83040,81580,81920,1047400
11:15,81920,82340,81130,81200,798300
11:20,81200,81840,80860,81580,553000
11:25,81600,82060,81320,81720,412400
11:30,81720,81790,81720,81790,31500
12:30,82560,83120,82000,82200,1060000
12:35,82210,82500,80450,80560,1004300
12:40,80550,81280,79040,79450,1469300
12:45,79490,81490,78600,81400,1427200
12:50,81390,81490,80310,80740,745000
12:55,80700,81380,80570,81130,564500
13:00,81140,81850,80820,81850,608700
13:05,81840,81850,81230,81600,418900
13:10,81620,82250,81360,82080,590900
13:15,82090,82540,81920,82400,516300
13:20,82390,82890,82280,82830,627200
13:25,82820,83300,82550,83270,805100
13:30,83260,83800,82890,83460,807500
13:35,83420,84050,83220,83720,786100
13:40,83730,83790,83000,83080,594600
13:45,83090,83450,82510,82840,606300
13:50,82830,83600,82710,83320,553400
13:55,83320,83460,82900,82940,384500
14:00,82930,83130,82400,83100,460300
14:05,83080,83140,82060,82200,395000
14:10,82210,82610,81620,82460,663200
14:15,82430,82560,81360,81640,547600
14:20,81610,81980,81460,81800,454100
14:25,81800,82570,81620,82430,585900
14:30,82440,82900,82320,82560,502900
14:35,82560,82630,82060,82180,387800
14:40,82180,82390,81620,81840,431000
14:45,81840,82360,81230,81740,624100
14:50,81740,82390,81720,82200,417800
14:55,82210,83170,82180,82970,638500
15:00,82970,84390,82570,83720,980000
15:05,83710,84170,83540,83920,600000
15:10,83920,84030,83220,83540,559100
15:15,83570,83930,83420,83770,536000
15:20,83760,84050,83410,83780,614100
15:30,83300,83300,83300,83300,0
