時刻,始値,高値,安値,終値,出来高
09:05,43090,43680,42600,42830,4614800
09:10,42820,42850,42310,42440,938800
09:15,42460,43210,42460,43140,900100
09:20,43150,43800,43120,43790,1425600
09:25,43790,44440,43710,44170,1665700
09:30,44180,44350,43690,44170,1079700
09:35,44170,45020,44150,44870,1642600
09:40,44870,45240,44840,45190,1079000
09:45,45200,45550,45110,45330,1367300
09:50,45340,45400,45080,45110,631300
09:55,45110,45240,44830,44970,996200
10:00,44960,45150,44840,44870,549900
10:05,44870,45040,44660,44880,561100
10:10,44870,45000,44850,44880,296100
10:15,44870,45050,44700,44770,578100
10:20,44770,44820,44130,44210,981900
10:25,44200,44440,44070,44100,607100
10:30,44080,44350,44080,44180,319900
10:35,44180,44400,44030,44360,483000
10:40,44380,44590,44250,44290,799500
10:45,44290,44350,44040,44210,383500
10:50,44220,44240,43840,43870,425100
10:55,43870,43970,43640,43930,635500
11:00,43920,44070,43630,43650,595100
11:05,43660,43740,43420,43530,560500
11:10,43530,43630,43340,43600,465600
11:15,43600,43610,43360,43420,372400
11:20,43420,43590,43390,43560,223900
11:25,43560,43880,43560,43870,378100
11:30,43880,43890,43880,43890,24500
12:30,44210,44710,44040,44430,1478700
12:35,44420,44850,44370,44590,789000
12:40,44580,44600,44120,44140,721900
12:45,44140,44350,44080,44230,526800
12:50,44220,44240,44110,44160,257600
12:55,44170,44290,44020,44060,323900
13:00,44050,44080,43720,43870,541300
13:05,43880,43900,43680,43830,231600
13:10,43830,43960,43750,43950,264800
13:15,43960,44070,43950,44000,298700
13:20,44000,44220,43950,43980,415900
13:25,43980,44140,43970,44030,202400
13:30,44030,44220,44030,44150,294200
13:35,44150,44160,44090,44150,137400
13:40,44130,44360,44090,44250,511900
13:45,44250,44250,43880,44050,357400
13:50,44040,44160,44020,44090,283100
13:55,44080,44190,44070,44120,203800
14:00,44120,44200,44080,44200,178300
14:05,44200,44220,44010,44140,254500
14:10,44140,44140,43980,44010,194800
14:15,44010,44160,44000,44080,223200
14:20,44080,44180,44060,44170,169400
14:25,44180,44240,44090,44240,266500
14:30,44240,44350,44150,44330,308600
14:35,44330,44480,44310,44460,379500
14:40,44470,44780,44450,44780,528500
14:45,44770,44820,44670,44730,532900
14:50,44730,44820,44680,44760,404200
14:55,44760,44940,44690,44690,661100
15:00,44700,44700,44470,44560,528400
15:05,44570,44660,44380,44420,338500
15:10,44420,44480,44380,44450,182500
15:15,44460,44470,44180,44330,386200
15:20,44320,44400,44240,44360,431800
