時刻,始値,高値,安値,終値,出来高
09:05,56780,56980,55680,56690,1370900
09:10,56680,57190,56130,57150,1175500
09:15,57130,57180,56570,56800,833300
09:20,56800,56900,56380,56620,646800
09:25,56630,56880,56500,56820,412700
09:30,56820,56820,56430,56570,473400
09:35,56560,56840,56380,56790,541800
09:40,56790,56880,56620,56730,404300
09:45,56730,56870,56700,56780,363700
09:50,56770,57130,56630,56630,794800
09:55,56630,56690,56400,56440,428600
10:00,56440,56910,56420,56780,449800
10:05,56780,56800,56410,56550,441200
10:10,56550,56640,56240,56460,567600
10:15,56470,56480,55830,55850,570600
10:20,55850,56080,55690,56050,689100
10:25,56050,56060,55760,55830,307800
10:30,55830,55920,55680,55890,377700
10:35,55890,55950,55480,55740,494600
10:40,55730,55750,55110,55170,543600
10:45,55180,55270,54940,55060,538900
10:50,55060,55160,54840,55150,459700
10:55,55140,55270,54930,55050,455300
11:00,55060,55140,54880,54970,328500
11:05,54960,54990,54760,54970,353800
11:10,54980,55150,54960,55050,352100
11:15,55050,55170,54720,54740,430100
11:20,54740,54840,54630,54780,284400
11:25,54790,55040,54640,54960,249300
11:30,54950,54980,54950,54980,22500
12:30,54960,55340,54780,55120,696300
12:35,55120,55370,55030,55350,449700
12:40,55350,55380,54840,54910,451100
12:45,54910,55000,54870,54890,234300
12:50,54890,54920,54750,54770,233700
12:55,54770,54850,54760,54820,162800
13:00,54820,54830,54650,54660,247200
13:05,54660,54740,54510,54660,425600
13:10,54670,54730,54370,54550,534100
13:15,54550,54700,54440,54590,284700
13:20,54590,54700,54520,54680,235000
13:25,54690,54740,54610,54680,208400
13:30,54690,54840,54610,54840,238200
13:35,54840,54930,54690,54930,349700
13:40,54930,55050,54900,55010,318300
13:45,55000,55040,54950,54990,138800
13:50,55000,55010,54900,54960,166700
13:55,54950,54960,54700,54770,238900
14:00,54770,54840,54620,54820,246100
14:05,54820,54950,54720,54810,185900
14:10,54820,54880,54740,54860,136900
14:15,54860,55000,54850,54990,201400
14:20,55000,55090,54950,55020,272100
14:25,55010,55120,55010,55120,210800
14:30,55120,55140,55020,55090,159600
14:35,55090,55180,54980,55050,230700
14:40,55050,55130,55020,55030,148300
14:45,55020,55030,54910,54920,191400
14:50,54910,54970,54870,54880,164000
14:55,54880,54880,54470,54480,449300
15:00,54470,54520,54300,54390,494600
15:05,54400,54740,54380,54740,385700
15:10,54740,54790,54670,54780,293400
15:15,54770,55060,54760,54980,431200
15:20,54980,55000,54740,54750,241600
15:25,54750,54760,54750,54760,400
15:30,54580,54580,54580,54580,0
