時刻,始値,高値,安値,終値,出来高
09:05,78000,79470,77410,77560,1042000
09:10,77560,77860,75720,76700,1671400
09:15,76690,77730,76110,77570,1116700
09:20,77600,78370,77400,77940,991500
09:25,77970,78260,77160,77410,739100
09:30,77420,78000,76760,76990,626600
09:35,76990,77230,76050,76640,743200
09:40,76640,76650,75130,75200,1166700
09:45,75190,75600,74410,74970,1405900
09:50,74920,75980,74330,75880,1049900
09:55,75880,76350,75150,75310,778400
10:00,75330,76030,75000,75530,829800
10:05,75520,75580,74910,75310,551800
10:10,75290,75410,74210,74300,820700
10:15,74310,74710,73510,73570,956900
10:20,73580,73840,72040,72340,1497700
10:25,72320,72980,72010,72360,964800
10:30,72330,73540,72000,72960,1150200
10:35,72940,73570,72060,72460,907200
10:40,72430,74220,72320,74060,936100
10:45,74050,75030,73830,74650,1014100
10:50,74640,75020,73420,73650,751200
10:55,73640,73800,72860,72980,584300
11:00,72970,73490,72920,73310,423200
11:05,73300,74160,73110,73590,640000
11:10,73600,73760,73180,73180,363400
11:15,73180,73230,72610,72780,443900
11:20,72770,72800,72270,72340,417700
11:25,72350,72590,72200,72510,385400
11:30,72500,72500,72500,72500,23200
12:30,72100,73390,71780,72870,1205000
12:35,72910,73620,72800,73070,597700
12:40,73070,73250,72570,72890,487700
12:45,72890,72900,72240,72500,564800
12:50,72510,72690,72070,72250,456400
12:55,72270,72960,72230,72880,451700
13:00,72870,73500,72780,73450,646200
13:05,73460,73940,73180,73270,661400
13:10,73250,73440,72690,72700,497500
13:15,72710,72870,72270,72690,506200
13:20,72680,73030,72370,72520,417800
13:25,72520,72650,72240,72610,345400
13:30,72600,72900,72300,72810,386000
13:35,72800,72900,72400,72710,337700
13:40,72710,72900,72620,72680,256500
13:45,72680,72780,72360,72480,325900
13:50,72480,72900,72450,72570,314500
13:55,72560,72680,72300,72360,253100
14:00,72350,72360,71850,72050,577800
14:05,72040,72060,71150,71210,932800
14:10,71230,72060,71120,71800,687300
14:15,71800,72460,71560,72420,635200
14:20,72430,73000,71900,72320,844100
14:25,72340,72350,71270,71740,861500
14:30,71760,72140,71590,71740,728100
14:35,71730,72430,71550,72420,604200
14:40,72400,72860,72230,72750,537600
14:45,72770,73130,72550,72590,666100
14:50,72560,73320,72300,73290,636700
14:55,73310,73900,73200,73450,760000
15:00,73450,73950,73000,73230,678800
15:05,73240,73360,72680,72910,560100
15:10,72920,72940,72300,72530,542100
15:15,72530,72990,72400,72740,487000
15:20,72760,72970,72570,72640,461700
