時刻,始値,高値,安値,終値,出来高
09:05,51520,51520,51050,51070,605700
09:10,51070,51630,50940,51180,1053500
09:15,51180,51270,50840,50860,746400
09:20,50870,51020,50780,50950,534300
09:25,50960,50960,50560,50560,568100
09:30,50560,50630,50420,50510,602900
09:35,50510,50600,50250,50370,431600
09:40,50360,50460,50210,50380,414100
09:45,50390,50400,50160,50370,396400
09:50,50370,50390,50060,50100,413700
09:55,50100,50240,50070,50190,321400
10:00,50200,50220,49910,50210,603100
10:05,50210,50320,50110,50120,463200
10:10,50120,50170,50040,50120,284500
10:15,50130,50130,49900,49970,362900
10:20,49960,50060,49950,49970,249400
10:25,49980,50130,49930,50130,259200
10:30,50130,50190,50070,50180,238100
10:35,50180,50430,50170,50380,462800
10:40,50370,50590,50320,50450,619700
10:45,50450,50480,50270,50400,349100
10:50,50400,50450,50310,50420,227600
10:55,50420,50420,50200,50260,250800
11:00,50280,50320,50070,50140,311800
11:05,50140,50170,49940,49980,393800
11:10,49960,50080,49900,49910,300900
11:15,49910,50000,49810,49820,403600
11:20,49820,49880,49720,49810,343100
11:25,49810,49810,49680,49760,288300
11:30,49770,49770,49760,49760,17800
12:30,49940,50070,49710,49770,533800
12:35,49770,49920,49760,49910,286200
12:40,49910,50070,49890,50060,387600
12:45,50060,50180,49860,50160,447600
12:50,50160,50240,50100,50210,308600
12:55,50210,50280,50140,50230,245900
13:00,50240,50240,50110,50150,243200
13:05,50140,50440,50090,50400,430200
13:10,50400,50470,50310,50410,323900
13:15,50410,50430,50280,50290,189400
13:20,50290,50300,50160,50190,275900
13:25,50190,50230,50120,50130,220000
13:30,50140,50140,50020,50050,263500
13:35,50060,50100,49920,50080,320700
13:40,50080,50120,49990,50000,223500
13:45,50010,50050,49940,49950,213000
13:50,49950,49960,49830,49830,242100
13:55,49830,49960,49830,49920,228100
14:00,49910,49950,49750,49820,365800
14:05,49820,49890,49730,49830,263500
14:10,49830,49930,49820,49890,198700
14:15,49890,50020,49860,49980,250100
14:20,49990,50030,49930,49980,266000
14:25,49980,50050,49900,49920,220600
14:30,49920,49950,49730,49730,339000
14:35,49730,49820,49670,49810,323300
14:40,49820,49830,49670,49760,221400
14:45,49760,49840,49680,49710,238000
14:50,49710,49720,49520,49520,404900
14:55,49520,49610,49410,49540,577900
15:00,49540,49830,49410,49790,583100
15:05,49800,49870,49710,49740,369000
15:10,49730,49750,49680,49700,202000
15:15,49710,49900,49640,49880,366500
15:20,49880,49890,49680,49700,296500
15:30,49880,49880,49880,49880,0
