時刻,始値,高値,安値,終値,出来高
09:05,22310,22400,22085,22105,872300
09:10,22105,22220,21885,21925,1231300
09:15,21925,22055,21915,21980,756000
09:20,21985,22015,21815,21850,774100
09:25,21855,21900,21480,21505,1559500
09:30,21510,21620,21395,21580,1209600
09:35,21580,21635,21480,21620,704300
09:40,21625,21900,21570,21840,957100
09:45,21835,22035,21795,21905,1341700
09:50,21910,21960,21760,21900,809800
09:55,21895,22170,21785,22130,831800
10:00,22130,22140,21620,21785,1117800
10:05,21780,21825,21410,21805,1439600
10:10,21815,21995,21700,21850,947000
10:15,21850,21850,21225,21375,1550400
10:20,21375,21540,21000,21195,2022800
10:25,21190,21295,20975,21160,1208300
10:30,21160,21220,20950,21140,1128600
10:35,21135,21260,21025,21210,758600
10:40,21215,21225,20855,20875,820100
10:45,20875,20985,20690,20805,1210300
10:50,20810,21025,20810,20970,810500
10:55,20960,20985,20805,20910,519700
11:00,20910,20995,20865,20905,463400
11:05,20910,21100,20855,20930,664600
11:10,20940,20985,20840,20860,411900
11:15,20860,20985,20860,20970,321500
11:20,20975,20990,20900,20970,308200
11:25,20970,20980,20800,20815,300600
11:30,20820,20820,20805,20805,31100
12:30,20715,21085,20650,21075,1474400
12:35,21075,21225,20880,20940,1092100
12:40,20935,21100,20910,21040,442300
12:45,21035,21060,21005,21010,252700
12:50,21010,21025,20905,20980,378900
12:55,20985,21080,20970,21065,283700
13:00,21065,21210,21060,21200,589400
13:05,21195,21350,21195,21315,774800
13:10,21315,21330,21220,21265,518000
13:15,21265,21375,21250,21290,509000
13:20,21290,21290,21085,21105,464400
13:25,21115,21145,21055,21080,309700
13:30,21075,21080,21000,21030,340700
13:35,21030,21065,20975,21040,354600
13:40,21045,21075,20980,21010,300200
13:45,21010,21075,20990,21075,229900
13:50,21075,21100,20990,20990,330400
13:55,20990,21040,20875,21005,505600
14:00,21010,21120,21010,21080,421900
14:05,21085,21110,21070,21085,235100
14:10,21085,21185,21055,21125,331300
14:15,21125,21165,21020,21055,323700
14:20,21055,21070,21030,21045,146000
14:25,21045,21115,21035,21110,223600
14:30,21110,21220,21110,21130,466100
14:35,21130,21145,21015,21080,382500
14:40,21080,21100,21025,21060,216700
14:45,21065,21070,20950,20965,382500
14:50,20960,21045,20950,21005,298400
14:55,21005,21030,20985,20995,246900
15:00,21000,21080,20970,21045,375200
15:05,21050,21065,20910,21030,478600
15:10,21030,21070,21010,21025,252100
15:15,21025,21085,21005,21060,278000
15:20,21060,21105,20995,21030,567000
