時刻,始値,高値,安値,終値,出来高
09:15,49200,49400,48620,49300,356000
09:20,49300,49430,48650,48990,1486200
09:25,49000,49090,47960,48110,1327400
09:30,48110,48510,48070,48410,705500
09:35,48410,48850,48340,48740,1060700
09:40,48940,49020,48660,48760,1026400
09:45,48770,48770,48530,48680,614700
09:50,48680,48790,48500,48570,502300
09:55,48570,48710,48460,48640,737500
10:00,48640,48680,48200,48230,552200
10:05,48230,48620,48150,48540,736500
10:10,48540,48560,48220,48250,491500
10:15,48260,48330,48150,48240,483200
10:20,48240,48360,48100,48200,555600
10:25,48190,48230,47760,47780,870000
10:30,47770,48100,47610,47930,738100
10:35,47930,48020,47690,47910,625800
10:40,47920,48120,47550,47600,639400
10:45,47600,47660,47440,47620,501400
10:50,47620,47810,47610,47730,469400
10:55,47720,47730,46960,47080,897700
11:00,47070,47300,47060,47210,552500
11:05,47210,47290,47100,47160,268800
11:10,47170,47500,47170,47420,539700
11:15,47420,47480,47100,47230,529800
11:20,47240,47580,47190,47530,605700
11:25,47540,47840,47330,47830,683400
11:30,47840,47850,47840,47850,35200
12:30,48000,48240,47760,48160,1241200
12:35,48170,48310,47910,48010,738500
12:40,48000,48130,47930,48100,394600
12:45,48100,48170,47880,47900,430900
12:50,47900,48060,47760,47990,429800
12:55,47990,48030,47720,47840,310700
13:00,47850,47920,47790,47800,218100
13:05,47800,47820,47630,47710,258000
13:10,47710,47780,47640,47720,295500
13:15,47730,47880,47710,47710,298700
13:20,47720,47740,47450,47480,414000
13:25,47480,47570,47350,47360,355800
13:30,47360,47460,47200,47310,412300
13:35,47310,47330,47160,47200,351800
13:40,47200,47250,47080,47170,305100
13:45,47170,47330,47060,47240,402000
13:50,47230,47300,47000,47020,448800
13:55,47020,47090,46980,47080,284200
14:00,47090,47240,46640,46690,858000
14:05,46670,46920,46210,46370,902000
14:10,46370,46480,45980,46330,1033200
14:15,46330,46550,46080,46340,619900
14:20,46350,46370,45740,45990,794500
14:25,45990,45990,45690,45940,498600
14:30,45940,46420,45910,46290,787300
14:35,46290,46380,46110,46170,496700
14:40,46170,46550,46140,46410,626700
14:45,46410,46570,46330,46570,493200
14:50,46570,46630,46240,46440,558400
14:55,46440,46450,46030,46110,363900
15:00,46110,46240,45950,46000,455600
15:05,46010,46120,45860,46010,402100
15:10,46000,46000,45760,45930,465200
15:15,45930,46000,45820,45850,300400
15:20,45850,45910,45720,45740,404500
15:25,45740,45740,45740,45740,100
