時刻,始値,高値,安値,終値,出来高
09:05,100300,101900,99990,100900,1014500
09:10,100950,101200,99970,100950,824600
09:15,100950,101400,100300,100900,594300
09:20,100950,100950,100100,100500,453200
09:25,100450,100800,100350,100800,302300
09:30,100800,101400,100800,101200,557200
09:35,101250,101500,101150,101500,326200
09:40,101450,101900,101300,101600,610300
09:45,101600,102500,101400,102300,755400
09:50,102300,102600,102150,102450,399800
09:55,102450,102750,102150,102350,406500
10:00,102350,102800,102300,102750,365600
10:05,102800,103300,102750,103150,543700
10:10,103150,103850,103100,103850,606300
10:15,103900,104250,103400,104200,715100
10:20,104150,104900,104100,104850,745100
10:25,104850,105450,104500,104700,905200
10:30,104750,104750,103600,104500,536100
10:35,104550,104750,103550,103950,482100
10:40,103950,104400,103700,104200,302500
10:45,104200,104200,103600,103800,282100
10:50,103800,103900,102750,102850,490400
10:55,102900,103350,102600,103100,368800
11:00,103150,103900,102350,102500,553300
11:05,102550,102800,101350,101950,593700
11:10,101950,102500,101150,102100,416000
11:15,102100,102500,101500,102250,307000
11:20,102300,103300,102200,103300,386500
11:25,103250,103600,103100,103500,274800
11:30,103600,103600,103500,103500,18000
12:30,103000,103050,102200,102650,634600
12:35,102700,103000,102000,103000,470500
12:40,102950,103150,102300,102450,448500
12:45,102450,102750,102250,102500,277400
12:50,102450,103000,102400,102900,235300
12:55,102950,103000,102050,102300,301900
13:00,102300,102450,102000,102250,259000
13:05,102250,102800,102050,102800,280700
13:10,102800,102850,102600,102750,222900
13:15,102750,102800,102450,102500,153700
13:20,102450,102700,102350,102700,153400
13:25,102700,102750,102500,102650,97100
13:30,102650,102750,102300,102300,181100
13:35,102250,102300,101850,102200,224800
13:40,102150,102150,101300,101300,351400
13:45,101300,101550,100750,101250,516100
13:50,101300,101400,100300,100700,454200
13:55,100650,100900,100300,100700,268800
14:00,100750,101150,100500,100550,351900
14:05,100550,101400,100400,101400,324000
14:10,101350,101550,100950,101500,239100
14:15,101550,101850,101400,101550,350600
14:20,101500,101550,101050,101200,231200
14:25,101200,101350,100800,101300,222400
14:30,101300,101800,101250,101750,279900
14:35,101750,102100,101700,102050,324000
14:40,102050,102200,101750,101850,240800
14:45,101850,102650,101800,102550,298100
14:50,102550,102850,102400,102800,379400
14:55,102800,103350,102700,103350,541000
15:00,103350,103400,102700,103400,472800
15:05,103350,104000,103350,103900,624800
15:10,103850,104500,103600,104250,600800
15:15,104250,104550,104000,104500,452300
15:20,104500,104550,103300,104150,733700
15:30,108600,108600,108600,108600,0
