時刻,始値,高値,安値,終値,出来高
09:00,20285,20285,20285,20285,0
09:05,20290,20495,20155,20290,1468900
09:10,20295,20365,20205,20255,944700
09:15,20255,20470,20200,20440,845100
09:20,20440,20495,20230,20300,799000
09:25,20300,20375,20250,20285,429200
09:30,20285,20455,20220,20430,658500
09:35,20435,20440,20360,20400,347900
09:40,20400,20425,20290,20365,415600
09:45,20370,20425,20290,20295,394800
09:50,20295,20315,20125,20185,672200
09:55,20180,20310,20180,20265,315900
10:00,20275,20380,20270,20345,354300
10:05,20350,20435,20325,20390,392700
10:10,20395,20485,20365,20485,373000
10:15,20490,20530,20430,20460,393300
10:20,20465,20575,20460,20560,364500
10:25,20555,20615,20530,20600,404300
10:30,20605,20690,20565,20575,592400
10:35,20575,20590,20365,20425,540300
10:40,20425,20470,20335,20345,362200
10:45,20345,20440,20300,20430,312100
10:50,20435,20460,20360,20380,227000
10:55,20385,20460,20365,20460,180900
11:00,20455,20495,20415,20495,260300
11:05,20490,20575,20430,20545,333500
11:10,20550,20645,20540,20595,400100
11:15,20600,20605,20520,20535,284900
11:20,20535,20550,20430,20505,247900
11:25,20505,20590,20505,20570,183700
11:30,20580,20580,20580,20580,15300
12:30,20605,20825,20585,20795,859600
12:35,20800,20890,20775,20825,567500
12:40,20835,20910,20790,20900,416200
12:45,20900,20980,20840,20890,558900
12:50,20885,21020,20840,21000,560800
12:55,21000,21020,20920,20950,305000
13:00,20955,21010,20940,20940,285500
13:05,20945,20945,20840,20850,336400
13:10,20850,20890,20800,20840,308000
13:15,20845,20865,20795,20845,257500
13:20,20845,20855,20800,20830,160700
13:25,20830,20880,20805,20820,227700
13:30,20820,20865,20760,20840,307500
13:35,20845,20875,20790,20825,238800
13:40,20825,20870,20810,20865,116600
13:45,20865,20890,20845,20865,151100
13:50,20865,20880,20820,20820,131500
13:55,20820,20870,20820,20855,130400
14:00,20855,20930,20855,20910,279300
14:05,20905,20950,20900,20910,176700
14:10,20915,20920,20800,20830,238800
14:15,20830,20920,20820,20910,199100
14:20,20910,20920,20880,20915,110400
14:25,20915,20950,20900,20950,140500
14:30,20950,21080,20945,21040,385000
14:35,21045,21110,21015,21040,249300
14:40,21035,21075,20985,21075,267400
14:45,21070,21160,21070,21155,293000
14:50,21145,21180,21115,21125,260300
14:55,21130,21140,21085,21115,204300
15:00,21115,21120,21000,21010,308000
15:05,21015,21100,21010,21100,220900
15:10,21095,21180,21090,21135,324000
15:15,21140,21190,21115,21150,219300
15:20,21150,21185,21100,21155,378700
