時刻,始値,高値,安値,終値,出来高
09:05,50270,50400,49910,50010,1011400
09:10,50020,50100,49690,50070,973800
09:15,50060,50250,49890,50080,794500
09:20,50070,50190,49930,50090,607700
09:25,50090,50150,49980,50110,473000
09:30,50110,50400,50110,50320,668200
09:35,50310,50350,50110,50250,517000
09:40,50250,50320,50100,50110,435500
09:45,50110,50180,49960,50050,401900
09:50,50050,50070,49900,50060,376700
09:55,50060,50130,49930,49960,326000
10:00,49960,50020,49880,49910,340200
10:05,49910,49930,49690,49760,598800
10:10,49760,49870,49680,49840,311900
10:15,49840,49920,49750,49750,316000
10:20,49770,49840,49660,49800,341700
10:25,49800,49920,49720,49810,268700
10:30,49810,49880,49730,49870,197000
10:35,49880,49880,49500,49560,659900
10:40,49560,49580,49440,49510,391500
10:45,49510,49510,49250,49250,432900
10:50,49260,49320,49150,49270,554500
10:55,49260,49400,49110,49270,459200
11:00,49270,49570,49250,49560,473600
11:05,49550,49580,49450,49530,279700
11:10,49540,49620,49470,49560,243400
11:15,49560,49670,49530,49660,243600
11:20,49660,49790,49580,49730,310100
11:25,49730,49840,49670,49690,263900
11:30,49700,49700,49690,49690,17200
12:30,50040,50210,49910,49990,1010600
12:35,49990,50020,49730,49830,525100
12:40,49820,49890,49660,49670,458000
12:45,49670,49890,49610,49870,410500
12:50,49880,50030,49860,49870,495500
12:55,49860,50100,49830,50050,385400
13:00,50050,50270,50050,50260,418100
13:05,50260,50300,50150,50190,336200
13:10,50180,50280,50090,50150,364000
13:15,50150,50260,50150,50170,253400
13:20,50170,50250,50110,50150,239500
13:25,50150,50150,50010,50060,217600
13:30,50070,50150,49980,49980,268800
13:35,49980,50160,49980,50100,229100
13:40,50090,50190,49960,50020,272100
13:45,50030,50160,49990,50140,225800
13:50,50140,50250,50130,50160,276200
13:55,50150,50210,50110,50140,144200
14:00,50150,50180,50020,50090,234300
14:05,50100,50150,50040,50150,137500
14:10,50140,50320,50130,50270,344100
14:15,50270,50370,50190,50200,373000
14:20,50210,50320,50150,50270,205800
14:25,50280,50490,50270,50440,303400
14:30,50460,50470,50360,50360,211300
14:35,50350,50500,50320,50430,283100
14:40,50430,50550,50430,50510,267800
14:45,50520,50620,50340,50340,445300
14:50,50340,50540,50300,50520,384400
14:55,50530,50540,50330,50330,224700
15:00,50330,50440,50250,50260,275000
15:05,50270,50390,50250,50390,227700
15:10,50390,50620,50390,50550,417700
15:15,50540,50690,50530,50630,364500
15:20,50630,50750,50620,50670,385000
