時刻,始値,高値,安値,終値,出来高
09:05,58160,58290,57570,57790,781000
09:10,57790,57970,56680,56870,1371300
09:15,56870,57630,56790,57570,961800
09:20,57570,58070,57470,57640,993400
09:25,57640,57660,57170,57320,779400
09:30,57320,57630,57270,57420,597500
09:35,57420,57710,57230,57700,539500
09:40,57690,58050,57590,58050,844800
09:45,58060,58110,57380,57480,993500
09:50,57460,57700,57450,57650,396200
09:55,57640,57700,57220,57290,551800
10:00,57310,57410,57010,57300,601800
10:05,57300,57390,57130,57190,370300
10:10,57200,57520,57160,57500,332900
10:15,57490,57570,57410,57460,296500
10:20,57460,57580,57420,57520,250600
10:25,57510,57740,57470,57610,336000
10:30,57610,57740,57530,57630,327300
10:35,57640,57950,57580,57910,432800
10:40,57910,57910,57410,57510,379100
10:45,57500,57690,57470,57570,207300
10:50,57560,57580,57330,57430,264600
10:55,57430,57490,57310,57470,232600
11:00,57470,57680,57420,57670,226100
11:05,57670,57680,57540,57630,169700
11:10,57620,57670,57440,57530,179400
11:15,57530,57630,57410,57630,157900
11:20,57630,57760,57560,57760,195800
11:25,57750,57810,57670,57750,184400
11:30,57730,57730,57720,57720,25700
12:30,57800,57800,57620,57680,339200
12:35,57680,57700,57440,57480,257400
12:40,57480,57570,57190,57250,395700
12:45,57240,57270,56970,57020,530100
12:50,57030,57050,56370,56540,977200
12:55,56540,56860,56510,56630,528900
13:00,56640,57120,56600,57030,583200
13:05,57020,57080,56630,56640,408000
13:10,56630,56690,56140,56350,807900
13:15,56350,56500,56170,56240,458600
13:20,56240,56370,56020,56370,685500
13:25,56360,56670,56270,56570,452700
13:30,56570,56760,56470,56700,406200
13:35,56690,57070,56680,56940,535600
13:40,56940,57110,56890,57070,335100
13:45,57070,57230,57010,57190,367000
13:50,57190,57200,56910,56970,325900
13:55,56980,57110,56910,57090,224600
14:00,57090,57130,56610,56720,429200
14:05,56720,56820,56610,56760,296500
14:10,56780,56990,56720,56940,301600
14:15,56930,56950,56660,56710,292800
14:20,56710,56750,56470,56600,383700
14:25,56600,56720,56460,56660,306000
14:30,56660,56800,56460,56780,349400
14:35,56790,56800,56560,56590,268200
14:40,56590,56610,56370,56400,314500
14:45,56390,56470,56290,56450,293000
14:50,56450,56640,56250,56590,406200
14:55,56590,56700,56400,56670,316000
15:00,56670,56800,56560,56620,307900
15:05,56610,56620,56420,56510,315600
15:10,56510,56590,56440,56530,242000
15:15,56520,56560,56340,56530,378400
15:20,56530,56790,56440,56780,310200
15:30,57000,57000,57000,57000,0
