時刻,始値,高値,安値,終値,出来高
09:30,44650,46000,44590,45390,647000
09:35,45390,45580,44690,45010,2225300
09:40,45010,45160,44750,45080,1283900
09:45,45080,45100,44560,44570,1801700
09:50,44570,44660,44550,44560,1721600
09:55,44560,44640,44550,44590,862200
10:00,44600,45550,44570,45230,1440500
10:05,45220,45700,44810,45000,1041400
10:10,44990,45150,44730,45000,680500
10:15,45010,45480,44960,45290,642100
10:20,45290,46070,45210,46010,1269500
10:25,45660,45720,45260,45550,1005100
10:30,45560,46150,45500,45870,942700
10:35,45870,46100,45610,45790,712700
10:40,45780,46350,45730,46320,1003800
10:45,46310,47370,45930,47270,1567600
10:50,47260,47720,45890,46000,1540400
10:55,46000,46310,45680,45700,999700
11:00,45700,45890,45230,45280,834600
11:05,45310,45570,45260,45490,539800
11:10,45480,45560,44920,45000,887700
11:15,45000,45160,44800,44910,881100
11:20,44910,45020,44750,44870,871200
11:25,44870,44880,44650,44680,641300
11:30,44690,44700,44670,44670,29900
12:30,44680,44770,44560,44740,1592900
12:35,44750,45100,44730,45070,656400
12:40,45060,45230,44810,45210,734700
12:45,45220,45320,45020,45090,444500
12:50,45080,45140,44850,45060,473700
12:55,45060,45120,44910,44950,389300
13:00,44940,44950,44650,44670,491400
13:05,44660,44780,44620,44630,313400
13:10,44630,44710,44620,44660,234800
13:15,44650,44830,44640,44810,333800
13:20,44800,44800,44650,44720,235300
13:25,44710,44820,44670,44740,201000
13:30,44730,44770,44670,44690,250700
13:35,44700,44700,44560,44630,935900
13:40,44640,44680,44610,44660,270700
13:45,44650,44750,44630,44650,289500
13:50,44660,44710,44600,44610,205400
13:55,44610,44640,44560,44570,583200
14:00,44570,44620,44550,44550,974500
15:30,44550,44550,44550,44550,0
