時刻,始値,高値,安値,終値,出来高
09:05,85700,86400,85200,86060,409900
09:10,86050,87300,85980,87280,2192500
09:15,87250,87940,86760,87330,1537000
09:20,87330,87480,86900,87320,632400
09:25,87340,87890,87280,87670,883100
09:30,87680,87700,87340,87610,569200
09:35,87610,88300,87430,88120,1030800
09:40,88120,88700,88090,88670,1023800
09:45,88690,88850,88180,88460,806000
09:50,88460,88670,88300,88670,418900
09:55,88680,88980,88210,88920,718600
10:00,88940,89450,88900,89380,895900
10:05,89380,89400,88880,89080,798500
10:10,89090,89230,88920,89210,413900
10:15,89210,89700,89180,89590,745200
10:20,89580,89950,89410,89750,764000
10:25,89760,89880,89420,89510,595300
10:30,89500,89730,89020,89070,645700
10:35,89090,89640,89010,89470,467100
10:40,89470,89730,89340,89680,312600
10:45,89690,89720,89540,89620,230300
10:50,89620,89990,89460,89870,641900
10:55,89870,89920,89700,89850,357400
11:00,89840,89900,89660,89900,316600
11:05,89900,90180,89730,90070,839700
11:10,90090,90120,89840,89930,412000
11:15,89930,90000,89750,89830,286400
11:20,89850,90030,89850,90000,236900
11:25,89990,90030,89870,90010,210700
11:30,90030,90030,90030,90030,21000
12:30,89940,90050,89730,89910,605900
12:35,89910,89940,89550,89740,463200
12:40,89740,89840,89510,89740,397500
12:45,89740,89750,89510,89510,321200
12:50,89510,89900,89300,89900,680500
12:55,89900,89900,89750,89840,301700
13:00,89850,89950,89810,89810,253600
13:05,89810,89900,89790,89820,166600
13:10,89820,90170,89760,90170,541200
13:15,90160,90970,90150,90970,868300
13:20,90970,90990,90860,90970,510000
13:25,90970,90990,90750,90880,397300
13:30,90880,90990,90730,90930,324300
13:35,90930,90980,90790,90820,240700
13:40,90830,90920,90630,90730,340300
13:45,90730,90890,90720,90810,240900
13:50,90810,90840,90730,90780,172100
13:55,90780,90960,90780,90940,265200
14:00,90940,90940,90780,90840,217500
14:05,90850,90920,90790,90890,180800
14:10,90880,90900,90820,90870,139800
14:15,90870,90920,90840,90890,126800
14:20,90890,90900,90660,90780,211300
14:25,90780,90820,90460,90620,366000
14:30,90630,90670,90000,90010,556000
14:35,90010,90250,89800,90190,670100
14:40,90190,90650,90180,90630,462600
14:45,90630,90680,90400,90490,304400
14:50,90490,90680,90330,90640,309200
14:55,90640,90800,90630,90680,263400
15:00,90690,90810,90680,90740,250100
15:05,90740,90950,90720,90820,371300
15:10,90830,90900,90750,90830,268600
15:15,90840,90860,90760,90830,200200
15:20,90820,90910,90770,90880,424200
15:25,90910,90910,90910,90910,300
15:30,90910,90910,90910,90910,0
