時刻,始値,高値,安値,終値,出来高
09:00,29550,30140,29530,30000,0
09:05,30000,30200,29850,30020,0
09:10,30020,30290,30020,30260,1018900
09:15,30270,30280,29915,30010,1221400
09:20,30000,30030,29600,29700,1217900
09:25,29700,29960,29690,29940,876600
09:30,29950,30020,29900,29925,627200
09:35,29920,29975,29785,29960,594400
09:40,29955,29955,29830,29895,316300
09:45,29895,29990,29880,29980,413800
09:50,29980,30130,29950,29995,834700
09:55,29990,30020,29940,30020,347900
10:00,30010,30120,29880,29945,683800
10:05,29950,29975,29850,29935,439400
10:10,29930,30000,29925,29980,250400
10:15,29985,30020,29925,29955,300600
10:20,29955,30010,29925,30000,217000
10:25,30000,30130,30000,30100,409100
10:30,30090,30160,30050,30150,367000
10:35,30150,30190,30120,30160,325400
10:40,30160,30200,30110,30130,317100
10:45,30140,30140,30030,30030,243000
10:50,30040,30140,29950,29965,377800
10:55,29965,30020,29925,29965,412300
11:00,29960,29960,29850,29865,472000
11:05,29860,29890,29800,29845,325300
11:10,29845,29880,29730,29790,571900
11:15,29785,29990,29735,29885,461600
11:20,29885,29975,29880,29965,214800
11:25,29960,30000,29920,29975,257700
11:30,29970,29980,29970,29980,14000
12:30,30040,30190,30010,30140,785900
12:35,30140,30140,30000,30010,272500
12:40,30010,30140,30010,30070,248000
12:45,30080,30090,30000,30060,191700
12:50,30070,30160,30050,30160,296900
12:55,30160,30180,30090,30090,292100
13:00,30100,30120,29970,29995,425700
13:05,29990,30060,29990,30050,185900
13:10,30050,30090,30020,30050,147300
13:15,30050,30120,30020,30100,156600
13:20,30090,30110,30060,30100,76400
13:25,30100,30140,30070,30110,147100
13:30,30110,30140,30100,30140,70500
13:35,30130,30420,30130,30330,894000
13:40,30340,30350,30260,30350,359200
13:45,30350,30430,30300,30420,372500
13:50,30420,30430,30330,30430,427800
13:55,30430,30480,30390,30450,466400
14:00,30460,30530,30440,30510,577000
14:05,30500,30540,30440,30490,353000
14:10,30490,30500,30420,30460,201000
14:15,30460,30540,30430,30440,421500
14:20,30440,30640,30440,30610,592700
14:25,30620,30790,30620,30770,689400
14:30,30780,30980,30770,30960,943800
14:35,30950,30980,30730,30800,769700
14:40,30790,30900,30720,30880,445300
14:45,30880,31020,30870,30950,888600
14:50,30950,31000,30880,30960,546400
14:55,30970,30970,30910,30940,255600
15:00,30950,31100,30880,31060,748200
15:05,31050,31250,31050,31150,743900
15:10,31160,31280,31120,31240,601700
15:15,31250,31320,31230,31290,557200
15:20,31300,31380,31280,31340,621700
