時刻,始値,高値,安値,終値,出来高
09:05,22685,22875,22590,22820,1252000
09:10,22830,22880,22660,22775,958300
09:15,22775,22805,22575,22695,853300
09:20,22695,22820,22605,22765,585100
09:25,22760,22880,22730,22785,704200
09:30,22790,22860,22685,22705,548700
09:35,22710,22770,22650,22770,383200
09:40,22770,22810,22700,22745,335600
09:45,22745,22805,22715,22765,415100
09:50,22760,22825,22705,22825,488000
09:55,22825,22840,22760,22805,465000
10:00,22805,22980,22770,22975,838800
10:05,22975,23180,22970,23160,1541000
10:10,23165,23410,23160,23315,1711000
10:15,23315,23330,23165,23185,690400
10:20,23185,23220,23055,23075,624400
10:25,23070,23085,22950,23000,706000
10:30,23000,23055,22910,22965,636100
10:35,22965,23020,22830,22895,473200
10:40,22890,22910,22840,22895,376900
10:45,22895,22895,22730,22775,599100
10:50,22775,22780,22575,22595,779300
10:55,22595,22605,22480,22590,832800
11:00,22590,22660,22370,22455,892200
11:05,22450,22565,22430,22495,506700
11:10,22500,22585,22450,22540,446800
11:15,22540,22635,22535,22580,464300
11:20,22580,22635,22575,22580,415400
11:25,22580,22610,22535,22610,318500
11:30,22615,22615,22615,22615,36500
12:30,22910,23195,22840,23075,1888000
12:35,23075,23145,22970,23010,789800
12:40,23000,23010,22810,22845,761800
12:45,22845,22940,22805,22870,720000
12:50,22865,22925,22840,22915,417700
12:55,22910,22940,22850,22865,391100
13:00,22865,22955,22865,22890,402600
13:05,22885,22890,22810,22890,355000
13:10,22890,22915,22860,22865,240900
13:15,22870,22945,22870,22905,474900
13:20,22905,22905,22870,22890,170500
13:25,22885,22885,22805,22875,337900
13:30,22875,22920,22845,22865,342100
13:35,22860,22860,22765,22860,363900
13:40,22860,22870,22810,22870,211600
13:45,22865,22890,22810,22860,273900
13:50,22855,22885,22815,22860,249300
13:55,22860,22860,22745,22805,334500
14:00,22810,22870,22780,22780,358700
14:05,22780,22835,22695,22825,406100
14:10,22830,22900,22825,22900,377900
14:15,22895,22945,22840,22915,519900
14:20,22920,23045,22915,22985,546600
14:25,22985,23030,22970,23005,345100
14:30,23005,23100,23000,23020,579700
14:35,23015,23080,23015,23060,431700
14:40,23055,23100,23020,23080,474800
14:45,23085,23255,23080,23250,805200
14:50,23245,23380,23245,23345,1015100
14:55,23345,23350,23165,23180,569500
15:00,23180,23310,23135,23295,735500
15:05,23305,23315,23190,23200,548600
15:10,23205,23310,23195,23305,419600
15:15,23310,23340,23300,23330,482600
15:20,23330,23370,23325,23345,734000
