時刻,始値,高値,安値,終値,出来高
09:05,26855,27455,26800,27430,1459800
09:10,27420,27555,27330,27345,1619900
09:15,27345,27440,27115,27280,1123700
09:20,27270,27280,26910,26925,1030300
09:25,26925,26965,26600,26705,1578600
09:30,26705,27075,26700,27010,1460400
09:35,27000,27020,26860,26985,623800
09:40,26985,27150,26985,27090,821000
09:45,27090,27095,26900,27030,643200
09:50,27035,27095,26925,26970,574800
09:55,26965,27015,26920,26955,338100
10:00,26955,27020,26845,26885,552200
10:05,26885,26975,26805,26965,469000
10:10,26965,26990,26920,26950,306700
10:15,26950,27060,26865,27040,583900
10:20,27035,27090,26910,26975,500300
10:25,26975,27095,26975,27035,409400
10:30,27035,27280,26900,27280,895200
10:35,27275,27365,27230,27350,715600
10:40,27350,27400,27275,27360,557900
10:45,27360,27480,27355,27475,721000
10:50,27475,27720,27400,27695,1522000
10:55,27700,28195,27690,28080,1847600
11:00,28075,28215,27805,27835,1430100
11:05,27830,28045,27795,27900,1135800
11:10,27900,27975,27795,27910,752200
11:15,27915,28015,27855,27905,684100
11:20,27910,27910,27700,27770,705200
11:25,27765,27800,27640,27735,575100
11:30,27750,27755,27745,27755,24400
12:30,27700,27795,27430,27670,1601000
12:35,27670,27745,27320,27380,896100
12:40,27380,27550,27350,27540,656100
12:45,27535,27535,27420,27465,449500
12:50,27470,27565,27450,27560,406700
12:55,27560,27650,27485,27525,552100
13:00,27525,27595,27455,27590,509500
13:05,27590,27765,27540,27730,656200
13:10,27730,27765,27650,27740,481700
13:15,27740,27770,27670,27690,367200
13:20,27690,27690,27470,27490,550400
13:25,27490,27625,27485,27590,405000
13:30,27585,27650,27570,27615,274500
13:35,27620,27670,27605,27620,222800
13:40,27620,27690,27555,27570,368600
13:45,27575,27575,27475,27545,408100
13:50,27540,27565,27475,27515,371800
13:55,27515,27520,27385,27430,449700
14:00,27425,27440,27200,27335,733600
14:05,27335,27410,27275,27355,449700
14:10,27355,27465,27290,27460,393900
14:15,27455,27520,27410,27485,443800
14:20,27485,27525,27300,27440,580200
14:25,27440,27450,27330,27375,402600
14:30,27375,27505,27365,27465,340700
14:35,27465,27545,27435,27495,443100
14:40,27495,27735,27485,27735,793300
14:45,27730,27745,27640,27725,656400
14:50,27725,27780,27655,27710,711100
14:55,27710,27780,27655,27750,490900
15:00,27750,27790,27625,27665,587100
15:05,27670,27690,27605,27655,340100
15:10,27660,27735,27655,27690,510200
15:15,27690,27745,27670,27685,506500
15:20,27690,27725,27650,27665,468400
