時刻,始値,高値,安値,終値,出来高
09:05,97180,97370,96950,97230,646200
09:10,97230,97880,97210,97790,930400
09:15,97800,98890,97710,98720,1330900
09:20,98730,99500,98630,98880,1282000
09:25,98860,99150,98250,98990,922200
09:30,98980,99270,98710,99050,717700
09:35,99050,99490,98830,99480,687700
09:40,99490,99500,99170,99340,562300
09:45,99340,99400,98870,99010,540600
09:50,99010,99080,98550,98940,632000
09:55,98940,98980,98370,98620,532900
10:00,98640,99100,98400,98480,567900
10:05,98450,98550,97510,97990,933100
10:10,97970,98260,97880,97890,488700
10:15,97900,98230,97800,98080,362400
10:20,98080,98790,98020,98750,542000
10:25,98750,99050,98580,98700,688900
10:30,98710,98890,98460,98560,342600
10:35,98540,98670,98110,98370,381500
10:40,98370,98810,98310,98640,333000
10:45,98620,99100,98470,99080,466600
10:50,99070,99200,98750,98790,458800
10:55,98790,98980,98700,98830,239000
11:00,98820,98930,98630,98820,220000
11:05,98830,98850,98670,98780,162800
11:10,98780,98780,98360,98400,335600
11:15,98400,98500,98040,98150,394300
11:20,98170,98280,97600,97880,529700
11:25,97880,97880,97450,97600,434700
11:30,97610,97610,97600,97600,26100
12:30,97900,98040,97380,97500,659400
12:35,97520,97790,97050,97770,524200
12:40,97780,97880,97550,97630,353500
12:45,97630,97800,97620,97740,227700
12:50,97740,98130,97700,97950,429200
12:55,97950,98130,97800,98100,275700
13:00,98090,98370,98070,98330,349900
13:05,98320,98450,98240,98350,287600
13:10,98360,98390,98060,98130,250200
13:15,98140,98330,97850,97910,304800
13:20,97900,98080,97810,97810,207200
13:25,97820,97880,97720,97850,183300
13:30,97850,97910,97650,97890,219300
13:35,97890,98130,97810,97820,250600
13:40,97810,97860,97620,97720,256900
13:45,97720,97770,97530,97660,226900
13:50,97650,97930,97580,97850,202500
13:55,97850,97880,97710,97750,139300
14:00,97750,97980,97680,97940,175700
14:05,97940,98090,97820,97860,230700
14:10,97860,97990,97750,97820,145700
14:15,97820,97890,97610,97670,146200
14:20,97680,97770,97660,97720,111600
14:25,97710,97840,97670,97720,157900
14:30,97730,97970,97590,97820,263500
14:35,97810,97810,97100,97410,563500
14:40,97410,97590,97230,97530,311200
14:45,97510,97520,97250,97270,225500
14:50,97270,97270,96720,97050,573600
14:55,97050,97050,96250,96310,550900
15:00,96320,96770,96120,96400,573200
15:05,96410,96410,95800,96160,746100
15:10,96160,96750,96010,96670,530300
15:15,96660,97070,96510,97030,566400
15:20,97010,97360,97000,97280,501300
15:30,96900,96900,96900,96900,0
