時刻,始値,高値,安値,終値,出来高
09:00,58700,58700,58700,58700,0
09:05,58720,59150,58450,58550,1347800
09:10,58550,58770,58450,58720,650900
09:15,58710,59350,58570,59080,821700
09:20,59090,59240,58860,58890,715700
09:25,58900,59220,58880,59210,459800
09:30,59200,59250,59070,59140,404100
09:35,59140,59500,59110,59460,603700
09:40,59450,60040,59450,60010,1002800
09:45,60020,60280,59960,60190,786000
09:50,60190,60690,60180,60680,953300
09:55,60680,60800,60410,60710,807200
10:00,60700,60770,60340,60620,744600
10:05,60620,60700,60410,60650,479500
10:10,60650,60700,60460,60560,500300
10:15,60550,60560,60200,60200,617100
10:20,60200,60470,60100,60120,527600
10:25,60120,60380,60120,60360,295900
10:30,60360,60740,60340,60590,513500
10:35,60590,60740,60500,60710,298000
10:40,60700,60950,60600,60670,655900
10:45,60650,60750,60580,60650,285900
10:50,60650,60660,60400,60490,319700
10:55,60490,60560,60350,60360,233200
11:00,60360,60640,60340,60520,349400
11:05,60510,60580,60320,60460,250900
11:10,60460,60620,60460,60580,204500
11:15,60590,60660,60460,60590,214400
11:20,60600,60700,60560,60640,189100
11:25,60630,60640,60490,60520,164300
11:30,60540,60540,60540,60540,21000
12:30,60760,61040,60510,60600,1020400
12:35,60610,60690,60430,60440,529900
12:40,60460,60470,60110,60180,527000
12:45,60180,60250,60020,60180,463000
12:50,60180,60220,59750,59900,569400
12:55,59890,59950,59750,59950,375000
13:00,59950,60200,59910,60200,519600
13:05,60200,60290,59900,60020,535300
13:10,60010,60070,59880,59920,325400
13:15,59920,60000,59850,59990,284200
13:20,60000,60050,59910,60030,211400
13:25,60030,60050,59950,60030,190400
13:30,60030,60150,59930,60100,362200
13:35,60100,60140,59860,60140,341000
13:40,60140,60210,60070,60180,253700
13:45,60170,60220,60130,60200,181100
13:50,60200,60250,59830,59920,352200
13:55,59910,59990,59600,59630,502800
14:00,59630,59740,59360,59660,544900
14:05,59660,59660,59240,59490,491600
14:10,59480,59630,59300,59580,413700
14:15,59570,59780,59470,59770,358600
14:20,59770,59840,59660,59790,341100
14:25,59790,59820,59630,59750,242500
14:30,59750,59800,59420,59520,403600
14:35,59520,59690,59470,59640,282700
14:40,59630,59660,58900,59020,734200
14:45,59020,59140,58800,59010,523800
14:50,59020,59080,58820,58960,404500
14:55,58960,59060,58800,58890,324600
15:00,58900,58920,58410,58440,620900
15:05,58450,58480,57780,58310,1530900
15:10,58310,58410,57870,57940,757500
15:15,57930,58100,57430,57480,836200
15:20,57470,57600,57040,57550,795000
15:30,57410,57410,57410,57410,0
