時刻,始値,高値,安値,終値,出来高
09:05,69110,69300,66670,67190,2257900
09:10,67190,67430,66320,67060,1389000
09:15,67040,67050,65610,65640,1438400
09:20,65640,66530,65240,65670,1396900
09:25,65690,65960,65000,65180,1128400
09:30,65170,65230,64410,64910,1316200
09:35,64900,64990,64030,64090,962300
09:40,64090,64160,63220,63250,1316500
09:45,63230,63890,63100,63590,1023200
09:50,63600,64350,63440,63920,942700
09:55,63920,64290,63510,63700,711900
10:00,63730,63870,63410,63540,660500
10:05,63530,63750,63020,63220,862300
10:10,63230,63320,62500,62830,1373800
10:15,62840,63110,62500,62770,688400
10:20,62780,63730,62750,63190,643700
10:25,63200,63390,62830,63100,455000
10:30,63080,63530,62800,62900,593400
10:35,62910,63500,62860,63300,520200
10:40,63310,63570,63040,63190,365100
10:45,63180,63590,63060,63460,388800
10:50,63460,63480,63130,63250,389600
10:55,63250,63440,62900,63040,462700
11:00,63050,63080,62270,62270,801500
11:05,62280,62410,62030,62150,684600
11:10,62150,62290,61520,61680,1014400
11:15,61680,62170,61560,61930,617600
11:20,61950,62340,61780,62230,410200
11:25,62230,62560,62150,62550,351400
11:30,62530,62530,62530,62530,22700
12:30,62300,63330,62080,63330,1241200
12:35,63320,63510,62810,62840,789400
12:40,62840,63670,62840,63640,707200
12:45,63640,63850,63220,63450,760000
12:50,63450,64250,63450,64250,759300
12:55,64230,64410,64010,64360,682300
13:00,64380,64430,63750,63800,588300
13:05,63800,64360,63640,64090,613300
13:10,64090,64450,63960,64400,459500
13:15,64400,64430,63900,63970,425900
13:20,63960,64110,63780,64100,391700
13:25,64080,64340,64010,64140,336400
13:30,64150,64350,64080,64190,345300
13:35,64180,64190,63220,63290,566500
13:40,63290,63390,63030,63150,402700
13:45,63130,63320,62900,63210,468500
13:50,63210,63330,62950,63270,342500
13:55,63270,63580,63170,63320,379800
14:00,63340,63560,62940,62970,373500
14:05,62970,63050,62550,62670,465300
14:10,62670,63100,62600,63060,343200
14:15,63060,63080,62660,62990,343000
14:20,62980,63070,62820,62960,278100
14:25,62960,63950,62950,63640,727100
14:30,63620,63890,62550,62740,840500
14:35,62740,62890,62300,62530,534900
14:40,63180,63190,62840,62870,675600
14:45,62880,63040,62590,62590,367900
14:50,62590,62810,62570,62690,272300
14:55,62680,62770,62080,62310,571800
15:00,62330,63050,62320,62360,738200
15:05,62370,62770,62150,62720,691600
15:10,62740,62750,62240,62370,494000
15:15,62370,62580,62190,62220,550100
15:20,62220,62480,62010,62320,855900
