時刻,始値,高値,安値,終値,出来高
09:05,64260,64620,63060,63920,1383600
09:10,63930,67250,63830,66740,1986300
09:15,66750,66990,64280,64340,1488100
09:20,64340,66110,63560,65930,1345600
09:25,65930,66020,64540,65230,982500
09:30,65230,66530,64900,66240,963600
09:35,66250,66910,65520,65740,957600
09:40,65740,66250,64900,65040,919100
09:45,65030,65840,64880,65830,806500
09:50,65810,67160,65620,67070,935100
09:55,67040,68300,66970,67370,1532200
10:00,67380,68380,67300,67630,1113000
10:05,67620,68100,66430,66600,975400
10:10,66600,66920,66170,66250,691100
10:15,66250,67090,65910,66600,711500
10:20,66600,66920,66110,66750,499900
10:25,66720,67610,66680,67460,717000
10:30,67470,67810,67160,67230,646800
10:35,67230,67980,66910,67960,638700
10:40,67960,68380,67400,67910,720500
10:45,67910,68260,67610,67730,513600
10:50,67730,67840,67180,67270,452200
10:55,67280,67390,66870,67120,514500
11:00,67130,67370,66700,67080,548600
11:05,67080,67500,66770,67170,440100
11:10,67160,67160,66310,66400,656000
11:15,66400,67110,66380,66770,469100
11:20,66790,66920,66190,66260,409800
11:25,66250,66320,65380,65580,625800
11:30,65600,65630,65600,65630,20000
12:30,65000,65570,64350,64400,1338400
12:35,64400,65370,64310,65080,790600
12:40,65110,65110,64120,64300,769500
12:45,64280,64900,64150,64570,629400
12:50,64570,65690,64550,65390,736800
12:55,65400,66100,65320,65440,687300
13:00,65430,65860,65150,65530,551100
13:05,65540,65660,64760,64850,558800
13:10,64840,65080,64520,64790,532900
13:15,64780,64970,64440,64640,452500
13:20,64630,65150,64560,64860,495900
13:25,64880,65380,64800,65140,419200
13:30,65140,65160,64850,64970,392900
13:35,64980,65840,64850,65810,568300
13:40,65800,66120,65450,65890,606100
13:45,65900,66550,65860,66410,568900
13:50,66410,66900,66010,66900,682300
13:55,66870,67500,66840,67160,820900
14:00,67170,67530,66900,67460,605200
14:05,67470,67990,67410,67920,675400
14:10,67930,69060,67910,68930,1369100
14:15,68910,69140,67990,68870,1034100
14:20,68870,69270,68660,69010,855200
14:25,69010,69920,69010,69900,940100
14:30,69880,70500,68870,68960,1368900
14:35,68940,69700,68830,69360,689600
14:40,69340,69590,68550,69590,746000
14:45,69580,69810,69200,69630,555100
14:50,69630,69630,69150,69450,449900
14:55,69460,69800,69160,69570,462600
15:00,69560,70380,69450,70250,714200
15:05,70260,70740,70130,70690,825600
15:10,70680,70920,70040,70070,726800
15:15,70050,70480,69620,70430,976400
15:20,70430,70520,69510,70140,924700
